,cy_1,cy_2,cy_3,cy_4,cy_5,cy_6,cy_7,cy_8,cy_9,cy_10,cy_11,cy_12,cy_13,cy_14,cy_15,cy_16,cy_17,cy_18,cy_19,cy_20
cy_1,0.0,0.17000000000000004,0.969,0.976,0.976,0.767,0.6859999999999999,0.06299999999999994,0.982,0.988,0.999,0.996,1.0,0.998,1.0,0.266,0.29100000000000004,0.958,0.281,0.345
cy_2,0.17000000000000004,0.0,0.99,0.972,0.99,0.757,0.8069999999999999,0.17200000000000004,0.992,0.988,1.0,0.999,1.0,0.997,1.0,0.122,0.139,0.981,0.132,0.389
cy_3,0.969,0.99,0.0,0.892,0.492,0.469,0.94,0.971,0.6659999999999999,0.825,0.512,0.623,0.675,0.7150000000000001,0.595,0.991,0.989,0.685,0.99,0.886
cy_4,0.976,0.972,0.892,0.0,0.987,0.995,0.829,0.992,0.884,0.122,0.8280000000000001,0.819,0.491,0.377,0.76,0.986,0.982,0.951,0.981,0.888
cy_5,0.976,0.99,0.492,0.987,0.0,0.7150000000000001,0.7010000000000001,0.979,0.368,0.966,0.40700000000000003,0.355,0.635,0.718,0.40700000000000003,0.999,0.999,0.19699999999999995,1.0,0.965
cy_6,0.767,0.757,0.469,0.995,0.7150000000000001,0.0,0.886,0.752,0.83,0.994,0.8069999999999999,0.875,0.953,0.968,0.9,0.729,0.73,0.792,0.748,0.626
cy_7,0.6859999999999999,0.8069999999999999,0.94,0.829,0.7010000000000001,0.886,0.0,0.733,0.512,0.876,0.874,0.73,0.827,0.841,0.834,0.873,0.876,0.5569999999999999,0.867,0.675
cy_8,0.06299999999999994,0.17200000000000004,0.971,0.992,0.979,0.752,0.733,0.0,0.982,0.998,0.999,0.997,1.0,1.0,1.0,0.20399999999999996,0.22899999999999998,0.969,0.21899999999999997,0.404
cy_9,0.982,0.992,0.6659999999999999,0.884,0.368,0.83,0.512,0.982,0.0,0.914,0.48,0.45399999999999996,0.647,0.573,0.486,0.993,0.991,0.31000000000000005,0.984,0.998
cy_10,0.988,0.988,0.825,0.122,0.966,0.994,0.876,0.998,0.914,0.0,0.732,0.783,0.44199999999999995,0.44299999999999995,0.7150000000000001,0.995,0.993,0.975,0.993,0.877
cy_11,0.999,1.0,0.512,0.8280000000000001,0.40700000000000003,0.8069999999999999,0.874,0.999,0.48,0.732,0.0,0.32499999999999996,0.477,0.5569999999999999,0.255,0.998,0.997,0.471,0.997,0.968
cy_12,0.996,0.999,0.623,0.819,0.355,0.875,0.73,0.997,0.45399999999999996,0.783,0.32499999999999996,0.0,0.355,0.579,0.133,1.0,1.0,0.365,1.0,0.968
cy_13,1.0,1.0,0.675,0.491,0.635,0.953,0.827,1.0,0.647,0.44199999999999995,0.477,0.355,0.0,0.41300000000000003,0.28200000000000003,1.0,1.0,0.654,1.0,0.961
cy_14,0.998,0.997,0.7150000000000001,0.377,0.718,0.968,0.841,1.0,0.573,0.44299999999999995,0.5569999999999999,0.579,0.41300000000000003,0.0,0.484,1.0,1.0,0.6579999999999999,1.0,0.944
cy_15,1.0,1.0,0.595,0.76,0.40700000000000003,0.9,0.834,1.0,0.486,0.7150000000000001,0.255,0.133,0.28200000000000003,0.484,0.0,1.0,1.0,0.43000000000000005,1.0,0.982
cy_16,0.266,0.122,0.991,0.986,0.999,0.729,0.873,0.20399999999999996,0.993,0.995,0.998,1.0,1.0,1.0,1.0,0.0,0.025000000000000022,0.999,0.04200000000000004,0.485
cy_17,0.29100000000000004,0.139,0.989,0.982,0.999,0.73,0.876,0.22899999999999998,0.991,0.993,0.997,1.0,1.0,1.0,1.0,0.025000000000000022,0.0,0.999,0.019000000000000017,0.505
cy_18,0.958,0.981,0.685,0.951,0.19699999999999995,0.792,0.5569999999999999,0.969,0.31000000000000005,0.975,0.471,0.365,0.654,0.6579999999999999,0.43000000000000005,0.999,0.999,0.0,0.999,0.959
cy_19,0.281,0.132,0.99,0.981,1.0,0.748,0.867,0.21899999999999997,0.984,0.993,0.997,1.0,1.0,1.0,1.0,0.04200000000000004,0.019000000000000017,0.999,0.0,0.506
cy_20,0.345,0.389,0.886,0.888,0.965,0.626,0.675,0.404,0.998,0.877,0.968,0.968,0.961,0.944,0.982,0.485,0.505,0.959,0.506,0.0
