,cy_1,cy_2,cy_3,cy_4,cy_5,cy_6,cy_7,cy_8,cy_9,cy_10,cy_11,cy_12,cy_13,cy_14
cy_1,0.0,0.34199077572598613,0.6518434336495254,0.6050390595620043,0.549365257401879,0.5451383709274592,0.37081358490527583,0.21757143841210053,0.6187511990362182,0.5571266167199663,0.4882152460408211,0.7411631105379997,0.621131541343781,0.7574598116934809
cy_2,0.34199077572598613,0.0,0.6023246228682245,0.4824720257548784,0.611853039524459,0.47845341791587703,0.4862114840209048,0.3361673340510555,0.5839981400885589,0.5073714876087971,0.6464774526669115,0.700476834469299,0.703607026409413,0.75429141432681
cy_3,0.6518434336495254,0.6023246228682245,0.0,0.5858994358246805,0.3762879600290244,0.4260150843529177,0.6902788501712451,0.567846714943941,0.531946300117842,0.42882849735800094,0.6848555065412827,0.4298264890249393,0.4090095945573261,0.4975574118764255
cy_4,0.6050390595620043,0.4824720257548784,0.5858994358246805,0.0,0.7403613083848521,0.6877921480631732,0.5642541957058189,0.6780945432172407,0.6213277899015226,0.339117049366264,0.4370968189660641,0.4591829135716998,0.6330341778779055,0.36465769651010516
cy_5,0.549365257401879,0.611853039524459,0.3762879600290244,0.7403613083848521,0.0,0.4753074717352413,0.5353080100768365,0.49827800504509756,0.4153847934992954,0.7035569408424809,0.5709897158754436,0.4457478433343789,0.38760696599271666,0.4533768788395862
cy_6,0.5451383709274592,0.47845341791587703,0.4260150843529177,0.6877921480631732,0.4753074717352413,0.0,0.5663655782928332,0.3984681418655752,0.5159583370309953,0.6178745748968623,0.5622695886268652,0.600701314148578,0.48362443596867427,0.6724369549424156
cy_7,0.37081358490527583,0.4862114840209048,0.6902788501712451,0.5642541957058189,0.5353080100768365,0.5663655782928332,0.0,0.4482531826174264,0.4109272755711303,0.5263197167820481,0.48451377268555945,0.640467292073229,0.6957384154680095,0.5061788623767792
cy_8,0.21757143841210053,0.3361673340510555,0.567846714943941,0.6780945432172407,0.49827800504509756,0.3984681418655752,0.4482531826174264,0.0,0.5272096195189471,0.6475476617584153,0.5554466994737682,0.7556463772902521,0.6433236791270205,0.7824947112453031
cy_9,0.6187511990362182,0.5839981400885589,0.531946300117842,0.6213277899015226,0.4153847934992954,0.5159583370309953,0.4109272755711303,0.5272096195189471,0.0,0.593911634045162,0.544846920499621,0.4198715295690288,0.4957298489454784,0.5285240677015404
cy_10,0.5571266167199663,0.5073714876087971,0.42882849735800094,0.339117049366264,0.7035569408424809,0.6178745748968623,0.5263197167820481,0.6475476617584153,0.593911634045162,0.0,0.5492486179287445,0.5118302263241485,0.6672655329464994,0.40662963374106803
cy_11,0.4882152460408211,0.6464774526669115,0.6848555065412827,0.4370968189660641,0.5709897158754436,0.5622695886268652,0.48451377268555945,0.5554466994737682,0.544846920499621,0.5492486179287445,0.0,0.6141922804122064,0.39900497299642124,0.37404685807349086
cy_12,0.7411631105379997,0.700476834469299,0.4298264890249393,0.4591829135716998,0.4457478433343789,0.600701314148578,0.640467292073229,0.7556463772902521,0.4198715295690288,0.5118302263241485,0.6141922804122064,0.0,0.32263877765827476,0.37417272548595215
cy_13,0.621131541343781,0.703607026409413,0.4090095945573261,0.6330341778779055,0.38760696599271666,0.48362443596867427,0.6957384154680095,0.6433236791270205,0.4957298489454784,0.6672655329464994,0.39900497299642124,0.32263877765827476,0.0,0.40420396132043745
cy_14,0.7574598116934809,0.75429141432681,0.4975574118764255,0.36465769651010516,0.4533768788395862,0.6724369549424156,0.5061788623767792,0.7824947112453031,0.5285240677015404,0.40662963374106803,0.37404685807349086,0.37417272548595215,0.40420396132043745,0.0
