,cy_1,cy_2,cy_3,cy_4,cy_5,cy_6,cy_7,cy_8,cy_9,cy_10,cy_11,cy_12,cy_13,cy_14
cy_1,0.0,0.027000000000000024,0.978,0.994,0.974,0.729,0.628,0.0010000000000000009,0.879,0.998,0.95,1.0,0.999,1.0
cy_2,0.027000000000000024,0.0,0.978,0.979,0.975,0.725,0.644,0.026000000000000023,0.878,0.99,0.962,1.0,0.999,1.0
cy_3,0.978,0.978,0.0,0.965,0.259,0.44099999999999995,0.993,0.978,0.8009999999999999,0.913,0.984,0.45799999999999996,0.48,0.879
cy_4,0.994,0.979,0.965,0.0,1.0,0.995,0.8240000000000001,0.994,0.912,0.10999999999999999,0.494,0.842,0.976,0.38
cy_5,0.974,0.975,0.259,1.0,0.0,0.516,0.9359999999999999,0.974,0.636,0.986,0.963,0.382,0.369,0.864
cy_6,0.729,0.725,0.44099999999999995,0.995,0.516,0.0,0.874,0.728,0.734,0.992,0.9339999999999999,0.8109999999999999,0.761,0.989
cy_7,0.628,0.644,0.993,0.8240000000000001,0.9359999999999999,0.874,0.0,0.629,0.41500000000000004,0.834,0.616,0.975,0.996,0.842
cy_8,0.0010000000000000009,0.026000000000000023,0.978,0.994,0.974,0.728,0.629,0.0,0.879,0.998,0.951,1.0,0.999,1.0
cy_9,0.879,0.878,0.8009999999999999,0.912,0.636,0.734,0.41500000000000004,0.879,0.0,0.909,0.76,0.677,0.748,0.869
cy_10,0.998,0.99,0.913,0.10999999999999999,0.986,0.992,0.834,0.998,0.909,0.0,0.591,0.815,0.97,0.372
cy_11,0.95,0.962,0.984,0.494,0.963,0.9339999999999999,0.616,0.951,0.76,0.591,0.0,0.944,0.787,0.479
cy_12,1.0,1.0,0.45799999999999996,0.842,0.382,0.8109999999999999,0.975,1.0,0.677,0.815,0.944,0.0,0.249,0.655
cy_13,0.999,0.999,0.48,0.976,0.369,0.761,0.996,0.999,0.748,0.97,0.787,0.249,0.0,0.7130000000000001
cy_14,1.0,1.0,0.879,0.38,0.864,0.989,0.842,1.0,0.869,0.372,0.479,0.655,0.7130000000000001,0.0
