,EGF,Eotaxin,FGF-2,FLT3L,FKN,GCSF,GM-CSF,GRO,IFNα2,IFNγ,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,TGFα,TNFα,TNFβ,VEGF
EGF,0.0,0.02400000000000002,0.87,0.996,0.823,0.5609999999999999,0.692,0.0030000000000000027,0.75,0.48,0.995,1.0,0.997,1.0,1.0,1.0,1.0,0.817,1.0,0.264,1.0,1.0,1.0,1.0,1.0,1.0,0.03300000000000003,0.03700000000000003,0.843,0.03700000000000003,0.20299999999999996,0.8,0.010000000000000009,0.399,0.599,1.0,0.48
Eotaxin,0.02400000000000002,0.0,0.874,0.996,0.8260000000000001,0.5680000000000001,0.704,0.025000000000000022,0.759,0.477,0.996,1.0,0.999,1.0,1.0,1.0,1.0,0.8029999999999999,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.04500000000000004,0.03700000000000003,0.846,0.04500000000000004,0.18700000000000006,0.802,0.028000000000000025,0.389,0.589,1.0,0.477
FGF-2,0.87,0.874,0.0,0.995,0.14600000000000002,0.402,0.6819999999999999,0.87,0.64,0.874,0.918,0.988,0.43200000000000005,0.985,0.988,0.996,0.993,0.653,0.989,0.777,0.989,0.962,0.965,0.984,0.995,0.985,0.869,0.88,0.626,0.875,0.848,0.16000000000000003,0.87,0.704,0.499,0.994,0.874
FLT3L,0.996,0.996,0.995,0.0,1.0,1.0,0.978,0.996,0.981,0.877,0.5529999999999999,0.25,0.921,0.257,0.29500000000000004,0.17600000000000005,0.22299999999999998,0.855,0.242,0.995,0.273,0.401,0.402,0.09799999999999998,0.17700000000000005,0.31100000000000005,0.996,0.996,0.985,0.996,0.975,1.0,0.996,0.991,0.999,0.21599999999999997,0.877
FKN,0.823,0.8260000000000001,0.14600000000000002,1.0,0.0,0.365,0.6579999999999999,0.823,0.613,0.897,0.9299999999999999,0.999,0.44599999999999995,0.991,1.0,1.0,1.0,0.692,1.0,0.742,1.0,0.982,0.97,0.99,1.0,1.0,0.825,0.842,0.579,0.839,0.815,0.06799999999999995,0.827,0.6990000000000001,0.48,1.0,0.897
GCSF,0.5609999999999999,0.5680000000000001,0.402,1.0,0.365,0.0,0.8,0.558,0.778,0.821,0.974,0.999,0.6990000000000001,1.0,1.0,1.0,1.0,0.604,1.0,0.494,1.0,0.994,0.993,0.997,1.0,1.0,0.5449999999999999,0.567,0.7969999999999999,0.5840000000000001,0.579,0.347,0.5640000000000001,0.484,0.261,1.0,0.821
GM-CSF,0.692,0.704,0.6819999999999999,0.978,0.6579999999999999,0.8,0.0,0.6950000000000001,0.10599999999999998,0.594,0.759,0.999,0.793,0.942,0.985,0.98,0.999,0.913,0.999,0.843,0.993,0.945,0.888,0.945,0.975,0.974,0.6930000000000001,0.692,0.29100000000000004,0.6739999999999999,0.754,0.704,0.6910000000000001,0.877,0.931,0.994,0.594
GRO,0.0030000000000000027,0.025000000000000022,0.87,0.996,0.823,0.558,0.6950000000000001,0.0,0.753,0.482,0.995,1.0,0.997,1.0,1.0,1.0,1.0,0.815,1.0,0.261,1.0,1.0,1.0,1.0,1.0,1.0,0.030000000000000027,0.03400000000000003,0.846,0.03400000000000003,0.20599999999999996,0.8,0.007000000000000006,0.398,0.596,1.0,0.482
IFNα2,0.75,0.759,0.64,0.981,0.613,0.778,0.10599999999999998,0.753,0.0,0.649,0.737,0.99,0.704,0.9319999999999999,0.973,0.971,0.989,0.907,0.99,0.874,0.984,0.925,0.874,0.949,0.969,0.954,0.751,0.75,0.28900000000000003,0.734,0.7969999999999999,0.669,0.749,0.895,0.92,0.984,0.649
IFNγ,0.48,0.477,0.874,0.877,0.897,0.821,0.594,0.482,0.649,0.0,0.977,0.995,0.993,0.997,0.997,0.989,0.996,0.639,0.994,0.648,0.997,0.992,0.999,0.8200000000000001,0.961,0.996,0.487,0.471,0.806,0.44999999999999996,0.472,0.905,0.475,0.655,0.873,0.998,0.0
IL1α,0.995,0.996,0.918,0.5529999999999999,0.9299999999999999,0.974,0.759,0.995,0.737,0.977,0.0,0.42500000000000004,0.607,0.33899999999999997,0.355,0.45399999999999996,0.43600000000000005,0.933,0.42900000000000005,0.997,0.382,0.269,0.18899999999999995,0.5840000000000001,0.483,0.31299999999999994,0.995,0.995,0.639,0.994,0.994,0.947,0.996,0.997,0.992,0.43500000000000005,0.977
IL1β,1.0,1.0,0.988,0.25,0.999,0.999,0.999,1.0,0.99,0.995,0.42500000000000004,0.0,0.753,0.16700000000000004,0.08399999999999996,0.11099999999999999,0.03400000000000003,0.963,0.010000000000000009,1.0,0.05700000000000005,0.20599999999999996,0.257,0.31399999999999995,0.14200000000000002,0.125,1.0,1.0,0.938,1.0,0.998,0.999,1.0,0.999,0.998,0.049000000000000044,0.995
