,EGF,Eotaxin,FGF-2,FLT3L,FKN,GCSF,GM-CSF,GRO,IFNα2,IFNγ,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,TGFα,TNFα,TNFβ,VEGF
EGF,0.0,0.33099999999999996,0.856,1.0,0.823,0.641,0.795,0.03400000000000003,0.875,0.833,1.0,1.0,0.911,1.0,1.0,1.0,1.0,0.806,1.0,0.595,1.0,1.0,1.0,0.997,1.0,1.0,0.366,0.44799999999999995,0.901,0.492,0.627,0.806,0.476,0.721,0.746,1.0,0.833
Eotaxin,0.33099999999999996,0.0,0.985,1.0,0.97,0.878,0.899,0.33599999999999997,0.984,0.896,1.0,1.0,0.997,1.0,1.0,1.0,1.0,0.942,1.0,0.737,1.0,1.0,1.0,1.0,1.0,1.0,0.401,0.19899999999999995,0.991,0.262,0.726,0.964,0.255,0.901,0.912,1.0,0.896
FGF-2,0.856,0.985,0.0,0.993,0.09899999999999998,0.43300000000000005,0.503,0.863,0.241,0.618,0.8089999999999999,0.983,0.16700000000000004,0.863,0.98,0.996,0.984,0.46699999999999997,0.984,0.607,0.984,0.92,0.855,0.881,0.998,0.935,0.923,0.997,0.257,1.0,0.777,0.133,0.999,0.402,0.379,0.985,0.617
FLT3L,1.0,1.0,0.993,0.0,0.998,0.999,0.945,1.0,0.969,0.944,0.7150000000000001,0.534,0.975,0.627,0.624,0.28400000000000003,0.515,0.92,0.509,0.996,0.585,0.7150000000000001,0.685,0.31399999999999995,0.30300000000000005,0.64,1.0,1.0,0.958,1.0,0.989,0.998,1.0,0.994,0.995,0.493,0.945
FKN,0.823,0.97,0.09899999999999998,0.998,0.0,0.391,0.48,0.834,0.28,0.579,0.864,0.996,0.245,0.917,0.996,1.0,0.997,0.43000000000000005,0.997,0.5509999999999999,0.996,0.966,0.909,0.912,0.999,0.98,0.904,0.988,0.30700000000000005,0.998,0.7130000000000001,0.04700000000000004,0.997,0.33699999999999997,0.31299999999999994,0.997,0.5780000000000001
GCSF,0.641,0.878,0.43300000000000005,0.999,0.391,0.0,0.6859999999999999,0.652,0.577,0.7150000000000001,0.961,1.0,0.562,0.983,1.0,1.0,1.0,0.477,1.0,0.42400000000000004,1.0,0.996,0.979,0.974,1.0,0.999,0.61,0.8280000000000001,0.5920000000000001,0.962,0.5760000000000001,0.356,0.952,0.36,0.356,1.0,0.714
GM-CSF,0.795,0.899,0.503,0.945,0.48,0.6859999999999999,0.0,0.8160000000000001,0.37,0.344,0.765,0.998,0.548,0.84,0.993,0.981,0.996,0.6779999999999999,0.998,0.769,0.994,0.973,0.83,0.827,0.976,0.973,0.878,0.949,0.44999999999999996,0.973,0.594,0.493,0.972,0.665,0.65,0.993,0.34299999999999997
GRO,0.03400000000000003,0.33599999999999997,0.863,1.0,0.834,0.652,0.8160000000000001,0.0,0.884,0.856,1.0,1.0,0.915,1.0,1.0,1.0,1.0,0.817,1.0,0.608,1.0,1.0,1.0,0.998,1.0,1.0,0.34199999999999997,0.42200000000000004,0.907,0.45899999999999996,0.6579999999999999,0.817,0.44199999999999995,0.738,0.76,1.0,0.856
IFNα2,0.875,0.984,0.241,0.969,0.28,0.577,0.37,0.884,0.0,0.563,0.6930000000000001,0.953,0.19399999999999995,0.783,0.944,0.978,0.956,0.5720000000000001,0.955,0.721,0.952,0.878,0.767,0.8160000000000001,0.978,0.895,0.9359999999999999,0.994,0.10399999999999998,0.999,0.802,0.32099999999999995,0.998,0.5569999999999999,0.534,0.956,0.562
IFNγ,0.833,0.896,0.618,0.944,0.579,0.7150000000000001,0.344,0.856,0.563,0.0,0.906,1.0,0.685,0.929,1.0,0.989,1.0,0.56,0.999,0.641,1.0,0.987,0.931,0.832,0.983,0.991,0.867,0.954,0.629,0.99,0.39,0.5860000000000001,0.988,0.55,0.5529999999999999,0.998,0.0010000000000000009
