,EGF,Eotaxin,FGF-2,FLT3L,FKN,GCSF,GM-CSF,GRO,IFNα2,IFNγ,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,TGFα,TNFα,TNFβ,VEGF
EGF,0.0,0.08278728697619347,0.42025978955130505,0.17252953876515642,0.49246302294239735,0.506278879252207,0.4198902036576611,0.12185942783828752,0.449449454835323,0.24372589450840831,0.3579089828563684,0.4577681285606752,0.46406664406036746,0.39502998948649515,0.3783489862242836,0.3822688705669274,0.37379958337175584,0.23806882698758408,0.44409037023642817,0.19822586908953715,0.3442849405894551,0.38825128149553034,0.4596836837908663,0.45097341620857667,0.4014279398114688,0.4319164206027184,0.329027861070614,0.1450317905247714,0.4202541835177479,0.3267046635308173,0.34199504137379033,0.42436828167337615,0.3047705204567626,0.1417442914623998,0.08902540617011012,0.4842206139846882,0.40484775908633325
Eotaxin,0.08278728697619347,0.0,0.4492543283339544,0.13377211867475186,0.5141110649994044,0.498478210050804,0.4577366847584182,0.2405189298990712,0.48333900914459343,0.23789539587319092,0.478972033912297,0.4588135684814043,0.5073148715950119,0.4259398989830405,0.39033219303501526,0.38851813339412544,0.3803056463331442,0.2249249617939743,0.45075008613018813,0.29475574535608834,0.3369312734078547,0.4485679316948906,0.4888732508185571,0.49865203695939214,0.3932252482808812,0.44940267562679864,0.4520811983955461,0.14990819408402284,0.4776224891192867,0.42938374206694996,0.3816608893819415,0.4807872749013671,0.43600354885411047,0.15206914060735577,0.06785770047941647,0.4905288006020246,0.46028050412911825
FGF-2,0.42025978955130505,0.4492543283339544,0.0,0.296624012424171,0.16767044631458466,0.4699890390141157,0.33975187813090413,0.4681952860551872,0.2172360424261614,0.2528343057763249,0.40548385291846034,0.21857395352597603,0.19301065837214443,0.1330496510265285,0.34031451826006165,0.1791031951795395,0.14721767689994003,0.36550089129941976,0.223226504727627,0.45345577937462256,0.3350753725257981,0.20601259803813915,0.17310877693669718,0.4377878176104189,0.41298225011046497,0.1545077192083793,0.4831101978491389,0.45715827586078905,0.16147444306493514,0.5169435201296508,0.4506613188897177,0.22998395781836284,0.5241094408773495,0.3745109552351207,0.34859055487501056,0.13408027718945337,0.21252889188501156
FLT3L,0.17252953876515642,0.13377211867475186,0.296624012424171,0.0,0.39436214209082504,0.5073735207158716,0.40477580168941785,0.2164511493291792,0.389818883692899,0.1715666106475039,0.442160253810167,0.3408854243522349,0.4063310820696444,0.26592606506518557,0.31485183711323883,0.27267743745816037,0.25543086738143317,0.26070743002241026,0.3387331543978896,0.3372430653588178,0.2705555281473564,0.3608179894062582,0.3628990902142592,0.4874084073223948,0.3868938025716965,0.29489160767016354,0.46964122387512963,0.23367904057374117,0.3817526886718682,0.46582691320511804,0.387241519987076,0.3970817214887237,0.4848114390587608,0.09776527450586742,0.11129748674595008,0.3567519812651382,0.33891796171027866
FKN,0.49246302294239735,0.5141110649994044,0.16767044631458466,0.39436214209082504,0.0,0.4485663642869566,0.2809625970914549,0.5282738610676448,0.19039544613579118,0.3796712696902209,0.36050562521586704,0.1765098835368965,0.2774728780200543,0.12339877524054732,0.2909903411709196,0.3188307957983164,0.26329297765943765,0.4298656417341795,0.21610303973915262,0.4929022861473887,0.2943081543955476,0.1741018765555452,0.12135946136278492,0.4632535621492713,0.45234913974025764,0.10414546094371113,0.4935544587787184,0.4955387474039684,0.23297491290054156,0.534468632236381,0.48696624891384155,0.23995388476374124,0.5579340997380222,0.46131474734863387,0.44144101751125503,0.23908156766945787,0.34263920430578615
GCSF,0.506278879252207,0.498478210050804,0.4699890390141157,0.5073735207158716,0.4485663642869566,0.0,0.48612103805821844,0.4927818865005908,0.49356598995833334,0.4977121056753777,0.4709671824655853,0.5035240076862163,0.39937942633531515,0.4831093936754976,0.49144875673857613,0.4914521121364155,0.5005437580576078,0.251175691022188,0.5007900143110712,0.4479520373190603,0.4953387534030979,0.3433745688770692,0.48714736910053175,0.5017906768200733,0.5045363749093835,0.46746413530648784,0.41321453010895115,0.2652344057662138,0.3225841903598935,0.5262870223007836,0.48904997034090364,0.46799417115467745,0.5147904676560829,0.4420397500898694,0.4773137551826267,0.4958305316515348,0.5015582842458104
GM-CSF,0.4198902036576611,0.4577366847584182,0.33975187813090413,0.40477580168941785,0.2809625970914549,0.48612103805821844,0.0,0.4005098170433907,0.14967008115949498,0.3370669208835373,0.40553079583449414,0.3405137844101356,0.35146575419037174,0.21603156510418614,0.39232924570461475,0.39816013097513636,0.3683210330608936,0.4543823206782652,0.37397492128721344,0.4688393944957325,0.3674589128605182,0.3426275377175445,0.16497440494268373,0.46491406816174596,0.4454864926079201,0.28663913113289696,0.4599828785153742,0.4535764482801997,0.3305261585850115,0.3904288434188369,0.43491375755085565,0.37936571295938515,0.4214937718272506,0.45706132271683486,0.4524337652154239,0.36055551650639317,0.3946736671770448
GRO,0.12185942783828752,0.2405189298990712,0.4681952860551872,0.2164511493291792,0.5282738610676448,0.4927818865005908,0.4005098170433907,0.0,0.47406630330825694,0.29387439766854806,0.3940945484386735,0.4930643509213718,0.4847519754989869,0.41567308507103096,0.408642220812411,0.4004031584572367,0.41362449259680534,0.3247375421747103,0.47930837855647856,0.2828849942831074,0.37146834207079793,0.4329992680716507,0.4983541197974456,0.4488383660784705,0.4287441196952545,0.46670272158335563,0.3258378001752009,0.23413621818736768,0.4408073361115964,0.29245585890332004,0.3549186993441253,0.43471415741159725,0.2321393687409421,0.12306885673844409,0.19203776470521755,0.5154105826800268,0.4211401274556972
IFNα2,0.449449454835323,0.48333900914459343,0.2172360424261614,0.389818883692899,0.19039544613579118,0.49356598995833334,0.14967008115949498,0.47406630330825694,0.0,0.37314013160014525,0.39226076672638166,0.2779875607983221,0.21282763406601873,0.12704295271353866,0.35370778445586104,0.2555231538132302,0.23044696533122927,0.4588337751292518,0.28447907602548317,0.48834555789086376,0.3431431479693355,0.2770996546675754,0.059253724992704926,0.4739975994167357,0.4100913927330782,0.20612599989128266,0.4824101445352078,0.4831350301407442,0.2414915941633251,0.5170496060724477,0.48071370564804405,0.32179867070614865,0.44442238493249914,0.4403467740499435,0.43268378809330876,0.2088756576891055,0.3081213081118581
IFNγ,0.24372589450840831,0.23789539587319092,0.2528343057763249,0.1715666106475039,0.3796712696902209,0.4977121056753777,0.3370669208835373,0.29387439766854806,0.37314013160014525,0.0,0.4528037138969015,0.3780733930898391,0.3740251273301976,0.24125703823521277,0.3851109714790623,0.2991626429705263,0.27677434077603313,0.26819882094566966,0.3409850710302912,0.37879810612188614,0.34976025752319534,0.36018664786569055,0.33641679974572214,0.43063822567810145,0.37964931593091267,0.3177811672582573,0.46529788517744824,0.31965045601335684,0.31681859210382335,0.33675445495842565,0.4034774946479017,0.3870420769096445,0.4605511431454601,0.2626485935038275,0.22736254298155423,0.3278392831216451,0.17148268573411263
