,EGF,Eotaxin,FGF-2,FLT3L,FKN,GCSF,GM-CSF,GRO,IFNα2,IFNγ,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,TGFα,TNFα,TNFβ,VEGF
EGF,0.0,0.11119819991738128,0.7476567533094868,0.289220591752001,0.7761719377777931,0.5795213721799147,0.5964192548823639,0.1704408833551755,0.7117248445355109,0.40099501869775916,0.4790834032155206,0.7120128752359334,0.7534663946318753,0.8079028977629866,0.5465751173938228,0.6530295639392558,0.699084509740354,0.3543586730860683,0.6923722020880045,0.26390502049934694,0.523997980787078,0.6510624758705649,0.8079466042542292,0.5058572948218943,0.4967355145299375,0.7916271767532739,0.38901577082375194,0.2136149307471371,0.7240365368263565,0.3529623435602556,0.40678132134119527,0.6435355034108547,0.32746219487525385,0.22233435913458005,0.14566855517232496,0.8077441367780771,0.6049776276358613
Eotaxin,0.11119819991738128,0.0,0.7015504199720725,0.1855481189431621,0.7298234786200535,0.5502555006120691,0.5986495270942092,0.31665584182320416,0.6882847383423518,0.3420205011643357,0.6013108574346825,0.6437547939859457,0.7377221526083519,0.743541674059142,0.5174374100458152,0.5841770634529083,0.6118710477322995,0.30461025218076576,0.634014304136958,0.37404294110303293,0.4639621826181056,0.668016415920068,0.758168056605637,0.5481914620282913,0.46393737024396753,0.7187189274845612,0.525051047908059,0.20179013543966207,0.7283921379532001,0.4721053821485296,0.4417057572010302,0.6614582852534266,0.48183263477319566,0.21019466151967736,0.08646100149306357,0.7287005215111723,0.6259763525841153
FGF-2,0.7476567533094868,0.7015504199720725,0.0,0.5739291550547478,0.2922403961823049,0.5534168147200254,0.5241880600148104,0.7435310292121435,0.38434029404937387,0.4738092686217304,0.5893065704383805,0.37663001375288385,0.35319495412865065,0.3163916641171333,0.5381792813738173,0.35172028989539644,0.3230784935867218,0.6048282478224579,0.38635043608511055,0.6780976298216865,0.5678178897226593,0.3947924237047853,0.3518577056972779,0.5022115696892397,0.5412407103247154,0.33027793134720584,0.62834434105451,0.7567182667971148,0.32029664402447344,0.6264019828351877,0.5808905738303215,0.3820797683237057,0.6409396506384598,0.6615213566375298,0.6555703779778737,0.2538356565471238,0.3435561241262558
FLT3L,0.289220591752001,0.1855481189431621,0.5739291550547478,0.0,0.6657199902977682,0.5957549677705883,0.6060206689921896,0.31899163250216533,0.6615856601869955,0.30446859837276313,0.6241840354792997,0.5661251635107641,0.7096035170189896,0.5943679980225913,0.4776365127794712,0.5048332179345189,0.5221568557472555,0.4095612456496431,0.5641308020119596,0.4774454260882061,0.4365236056624865,0.6539572824477518,0.6924440515255531,0.564601019418653,0.49118719661982096,0.5888013556428866,0.5924188922487053,0.3632228521625678,0.7130899200862971,0.5423289059144442,0.47727381138277175,0.6411824692591428,0.5719452493649956,0.16132901798782268,0.1975899154226346,0.6422022411302765,0.5366126723807692
FKN,0.7761719377777931,0.7298234786200535,0.2922403961823049,0.6657199902977682,0.0,0.50587171384232,0.3968821075096589,0.7588954440648236,0.30163884743841585,0.6257752212696457,0.48281417949788874,0.2745997720519695,0.45049594412033156,0.21795978665314036,0.41939895137487365,0.5442029719575738,0.4863203850069932,0.6417127687848823,0.3369893515155763,0.6759102606073741,0.44801353279902445,0.29062000652921327,0.20737208727062673,0.5215868532996386,0.5642866546545681,0.1788145091239336,0.6046210121176769,0.7359969567228283,0.3991317076185307,0.6188548813177301,0.5969010926068352,0.36360414246044354,0.6519316224306585,0.7239749543337481,0.728453577072744,0.397913600158133,0.5119446831049436
GCSF,0.5795213721799147,0.5502555006120691,0.5534168147200254,0.5957549677705883,0.50587171384232,0.0,0.5364101214193677,0.5456339645632792,0.564261558843005,0.5774955515209281,0.51109260907729,0.57347099847757,0.4449487291223797,0.6034682396832393,0.5455418382949079,0.5764594022031904,0.6108311866040433,0.25928723269033016,0.5704942521071578,0.48716225009623915,0.5591997195954742,0.37047599653564467,0.5758318491721514,0.5188488061513847,0.5364933466372213,0.5547992858171306,0.43592039021133755,0.27672693180133123,0.34035411880983363,0.5458159838230641,0.5166610521702535,0.5248161661404962,0.5346437690424529,0.49695245369456553,0.5503449470597163,0.5773971817019258,0.5634371289797031
GM-CSF,0.5964192548823639,0.5986495270942092,0.5241880600148104,0.6060206689921896,0.3968821075096589,0.5364101214193677,0.0,0.5287228882121807,0.2084454624184604,0.4929338086887497,0.5099421802930789,0.4778822549185404,0.509142779149004,0.33122518894378283,0.5214742292012289,0.6016475435981944,0.5937086958911637,0.6189199924955275,0.5261625239257016,0.596756962178079,0.5078849746854703,0.5077081301583259,0.2363854092557534,0.5094663827225198,0.5277265217087416,0.44406106962430886,0.5352289903179732,0.615122813615894,0.49813575148503797,0.42702000310417826,0.5059044685669297,0.5228808115008655,0.46529192723056245,0.6476332993320698,0.6671760193086199,0.5329228090802787,0.5380560282968825
GRO,0.1704408833551755,0.31665584182320416,0.7435310292121435,0.31899163250216533,0.7588954440648236,0.5456339645632792,0.5287228882121807,0.0,0.6830508479868231,0.43261560591158493,0.49831924769929137,0.7002231195800971,0.7132105526181474,0.7372434214389127,0.5470842301307925,0.6116467175274017,0.6817777427383285,0.4454677687954651,0.6819235953981477,0.3617289924209839,0.5177791218855429,0.653048649787636,0.7844971394579869,0.49180343029743656,0.5096145478074696,0.7598063957422716,0.37591994528155076,0.3195873298090953,0.6798773789919409,0.3125904641374492,0.4114860817837218,0.60443865265916,0.24345939623932383,0.17196702126766794,0.2782721561821129,0.7765134062179173,0.5787666476683294
IFNα2,0.7117248445355109,0.6882847383423518,0.38434029404937387,0.6615856601869955,0.30163884743841585,0.564261558843005,0.2084454624184604,0.6830508479868231,0.0,0.6181885954120844,0.528323773984625,0.43449393830426397,0.34721939075981634,0.228971667639136,0.5127396422884599,0.4378336062480301,0.42620019719639246,0.6879908809586158,0.44571134646369137,0.6718657145476952,0.5247360013341587,0.46676058741819193,0.09823476238909618,0.5360239859109663,0.509397608429369,0.37244770379200887,0.591372369705697,0.720531813419726,0.41648676826723585,0.5976318538934682,0.5900575219666144,0.4900273048054359,0.5071062228732034,0.6943046193897577,0.7176522254837148,0.34937399399687297,0.46201891415921537
IFNγ,0.40099501869775916,0.3420205011643357,0.4738092686217304,0.30446859837276313,0.6257752212696457,0.5774955515209281,0.4929338086887497,0.43261560591158493,0.6181885954120844,0.0,0.6294459226114214,0.6141001037221746,0.6368187509532893,0.5146356065142174,0.5767440232575444,0.5384840534670702,0.5473207421494531,0.41400161412252307,0.5550690806984002,0.5315977829044343,0.5544463793970926,0.6354611482340786,0.6231846013338393,0.48433480471548684,0.47636533919605456,0.6148626957509836,0.5795904832571909,0.49149114912188596,0.5750843729843953,0.3652415654643584,0.49569390770752714,0.6113341803843001,0.5344323164971077,0.4301172258754649,0.39378674599877156,0.5746424806762869,0.2628863290705683
