,TNFα,TNFβ,IFNα2,IFNγ,Eotaxin,GCSF,GM-CSF,GRO,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,VEGF,FKN,EGF,FGF-2,TGFα,FLT3L
TNFα,0.0,0.37772145734087187,0.21537406390586866,0.3245071419155006,0.30240564297000505,0.22197850941568198,0.25622251733260315,0.34369615718859403,0.2747236524400272,0.2829148806266203,0.20432470997850344,0.2843443970826811,0.27221204919511005,0.40786257194141595,0.38901730519407757,0.18964902324486999,0.29867356092480707,0.29519712319925656,0.28147531557131056,0.2626634446688092,0.2927978446157514,0.2614553271120099,0.38034847583905074,0.2362248222647303,0.28152875485795215,0.18030189935865565,0.34584416697850795,0.3940598533307283,0.29370270945627885,0.16095335752245765,0.5066108833735607,0.30090979818246116,0.2451834691708289,0.3680039301278464,0.3126694386343084,0.34290107774622924,0.3758448391545821
TNFβ,0.37772145734087187,0.0,0.3583395613664758,0.31726986407843516,0.4460898782814832,0.41363364425024923,0.36893713443972426,0.4783849605423179,0.3306305000144282,0.2359177176672762,0.33018659370838066,0.25751563306980574,0.23778099990276647,0.23235491228747035,0.32181926843929387,0.40096028060073813,0.30788188275035977,0.4063278953248581,0.3016045943021266,0.42818799249861683,0.22822877173025102,0.328908284481167,0.08420421639473519,0.3074349900992077,0.5366520049958792,0.4806685455148058,0.19678462693760645,0.4545520332883551,0.3511873108207587,0.35305501002337314,0.526252642659699,0.35228044695431227,0.2966606162698219,0.4093426268411133,0.39575880301290023,0.34333497095068277,0.49351341615750927
IFNα2,0.21537406390586866,0.3583395613664758,0.0,0.286726804180787,0.3077565367973638,0.3088347270852847,0.2439444750142643,0.3155147529593827,0.23127911829578557,0.2858433574025805,0.2094646689314491,0.2666722823944305,0.27264348175950626,0.37746838227901214,0.3082743948118245,0.2844656293937663,0.20545310357365976,0.3857131088311312,0.194497911618411,0.3215431482540469,0.2538269195255263,0.1946790993716182,0.3180257133930259,0.24002564894952805,0.35716845580052325,0.29847885038106425,0.28842999585852624,0.3944847752145866,0.3131297661020741,0.19558489646011107,0.41637060847338886,0.25833727828237774,0.19710207866945012,0.2714254672184292,0.20284629743598415,0.2778293544906254,0.3954586239075967
IFNγ,0.3245071419155006,0.31726986407843516,0.286726804180787,0.0,0.31879028959531175,0.36268577701917115,0.18266395805856073,0.45431125578995546,0.22590028992405764,0.47150932106733284,0.33162027750804207,0.33513293518954584,0.33103159399828663,0.44231306724301167,0.334077398347691,0.34716570618341513,0.3925217624411165,0.2811081003446734,0.2716978269256052,0.34818524412955343,0.42763535864648444,0.2523431095968721,0.32923433902617794,0.37002080235769275,0.36043763751489744,0.3608958722836927,0.35228510707170224,0.40771791620831943,0.30760040042209036,0.38379640318070557,0.5005024251715521,0.18470196402825056,0.3630194161489354,0.27592585134059455,0.2978435817228806,0.34198340807176086,0.43737002054440266
Eotaxin,0.30240564297000505,0.4460898782814832,0.3077565367973638,0.31879028959531175,0.0,0.4404909938123468,0.31427391920355574,0.35168341666368985,0.37161652076582813,0.43031121409124307,0.3504646325399257,0.41788712933024075,0.4040872102870777,0.47271776961468437,0.3273692368004297,0.4305986166173456,0.37954917443480407,0.4679283804140889,0.32625414786847395,0.4011175756629311,0.43536692595679494,0.3576599480542382,0.4534377127826682,0.4620075738625287,0.4044842809102841,0.3733185575735225,0.4884208810663641,0.3540593255055502,0.4402598407319581,0.31659786201747403,0.4270204265528617,0.31315526690104056,0.37419956104501806,0.24706887558097917,0.43515706527454734,0.35109960427753817,0.5075785340601316
GCSF,0.22197850941568198,0.41363364425024923,0.3088347270852847,0.36268577701917115,0.4404909938123468,0.0,0.2809291844260029,0.3509429953713573,0.30080408725490737,0.35492306727573325,0.24305905787151044,0.3032497684731513,0.3214134860244642,0.4791592433631644,0.450788989688689,0.16941107436808522,0.37097179000491454,0.2519297325158234,0.32793323470319935,0.2440641795714339,0.37868215272206074,0.3331363559860975,0.39927263805490126,0.25198066168503364,0.22896502175659222,0.21247608922273858,0.35808365284547183,0.4250948548501996,0.32470203825321586,0.2817156903132619,0.5115374488766347,0.4132255106221027,0.3370949573391703,0.4109150305504748,0.37829292831246075,0.3343502984928334,0.4633914294028206
GM-CSF,0.25622251733260315,0.36893713443972426,0.2439444750142643,0.18266395805856073,0.31427391920355574,0.2809291844260029,0.0,0.372105060466734,0.2504845743656509,0.4426289881791442,0.2948772869733681,0.3172247645129551,0.3187339193358521,0.4602390192254083,0.3814230139240013,0.27893663876149655,0.374795366778512,0.2472124114497048,0.22333425916062993,0.3549628698143646,0.4276623661198623,0.2828049051514975,0.39438699751074696,0.3115830095191891,0.36846479220843276,0.27574875251142456,0.33544624597209827,0.39341013738815767,0.27081010471267,0.2836594901680503,0.4364319649335602,0.20400588583084128,0.3432895813924847,0.2713925349128733,0.24004380176221163,0.2994097843984285,0.45362544817875694
GRO,0.34369615718859403,0.4783849605423179,0.3155147529593827,0.45431125578995546,0.35168341666368985,0.3509429953713573,0.372105060466734,0.0,0.457906337772658,0.35269291623190613,0.3153770721636714,0.3934609636723515,0.3900286688683188,0.45013220034838874,0.3892833930336488,0.37295742653309477,0.3339736015699528,0.4004969082378033,0.36779237259108566,0.36197359100749593,0.4087967760574949,0.3366447067754679,0.44702202995180185,0.40659387765662075,0.46268403260150825,0.36552393039825626,0.4019162643518068,0.3048890273477227,0.35145509986017626,0.2688307506623785,0.3132716806351036,0.3617496507808152,0.36256073451447013,0.3078199839301367,0.3213677150466288,0.38959520066962866,0.42806269610605696
IL1α,0.2747236524400272,0.3306305000144282,0.23127911829578557,0.22590028992405764,0.37161652076582813,0.30080408725490737,0.2504845743656509,0.457906337772658,0.0,0.3673906678637656,0.3304803480312206,0.3309337165739856,0.25029275977980925,0.4065250142016334,0.3507906240911196,0.3308854520309096,0.2973183058148863,0.3188015619919017,0.28770494228828747,0.3659078583703237,0.4069087229109378,0.27495744894970986,0.2800514102138486,0.26555393077623124,0.31247743245250537,0.34541336942988565,0.3890864097970631,0.4491971568917525,0.3650571544692569,0.3380705076626367,0.4876085481706485,0.23688511855230904,0.3136007858190033,0.30367222325580095,0.3464858290259172,0.25861114720257194,0.554275997246963
IL1β,0.2829148806266203,0.2359177176672762,0.2858433574025805,0.47150932106733284,0.43031121409124307,0.35492306727573325,0.4426289881791442,0.35269291623190613,0.3673906678637656,0.0,0.287654888573491,0.16337368522957713,0.18586291065748917,0.29286881818460225,0.3736378766295395,0.31776386731804934,0.27583723175290203,0.46122505165835564,0.2411559488742952,0.35270806645575664,0.15238995246619036,0.26780452227613866,0.2835845417383061,0.18195139387292952,0.4773652490798789,0.4134406731865748,0.27777540577905946,0.49188182868361613,0.37941964937198475,0.2575404417432816,0.49623792561889213,0.47182814027339126,0.25468507160540976,0.4418480307456958,0.3373705480141601,0.36250973235691586,0.45227032749980856
IL1Ra/Ra2,0.20432470997850344,0.33018659370838066,0.2094646689314491,0.33162027750804207,0.3504646325399257,0.24305905787151044,0.2948772869733681,0.3153770721636714,0.3304803480312206,0.287654888573491,0.0,0.28745031200235827,0.2853817552714204,0.39512451318757735,0.3398747761760752,0.19561270084195176,0.2892726299386579,0.3035955450248661,0.23262248443372657,0.24804607139476198,0.27357007665129096,0.2949491065731941,0.32279599145723475,0.24260623264097786,0.3112518514145859,0.23708387785385193,0.21801273560397516,0.406626287853486,0.2979940248516874,0.19372737646478716,0.47180347950665547,0.36442835576468285,0.23822290446996142,0.3192978125215254,0.23574029170612432,0.3287826261374448,0.3770145218773963
IL2,0.2843443970826811,0.25751563306980574,0.2666722823944305,0.33513293518954584,0.41788712933024075,0.3032497684731513,0.3172247645129551,0.3934609636723515,0.3309337165739856,0.16337368522957713,0.28745031200235827,0.0,0.206289360411752,0.29765523919521497,0.33126742028072265,0.2858308321577617,0.3344373816476801,0.38520207895749947,0.15723531119204964,0.3045795688942312,0.16137369720528427,0.2476139626514176,0.2386385505112657,0.1941529879738067,0.42706626822475513,0.3859929236307036,0.250514782394892,0.4279712802836056,0.3400605377144287,0.2776111817807294,0.5247983633714411,0.37855550646554775,0.27426326111542176,0.44384751561368113,0.27326886093458724,0.3871211049375839,0.40741366302717197
IL3,0.27221204919511005,0.23778099990276647,0.27264348175950626,0.33103159399828663,0.4040872102870777,0.3214134860244642,0.3187339193358521,0.3900286688683188,0.25029275977980925,0.18586291065748917,0.2853817552714204,0.206289360411752,0.0,0.2692251475345444,0.3054808395271241,0.3231905340326878,0.2944899715772844,0.3133790674271995,0.23345812409632677,0.27987179033638754,0.22533232242979345,0.2914631272736405,0.19850931929093324,0.24058894120135182,0.39321117480036866,0.3620708469132462,0.2901151917109529,0.4617734227782049,0.31562562719265597,0.30580353401070587,0.5425013992600477,0.33166454619243796,0.26483391608712176,0.4043926483114078,0.34531192422929424,0.2924733350063243,0.47932343530093174
IL4,0.40786257194141595,0.23235491228747035,0.37746838227901214,0.44231306724301167,0.47271776961468437,0.4791592433631644,0.4602390192254083,0.45013220034838874,0.4065250142016334,0.29286881818460225,0.39512451318757735,0.29765523919521497,0.2692251475345444,0.0,0.4246267630226499,0.42095918799329946,0.4307263541084907,0.46454122502394934,0.33135597896311814,0.46800142299256525,0.256453696581338,0.39797987491905096,0.22248312504941425,0.30315901726879296,0.5568770515957462,0.5142599432810119,0.26398568888301055,0.4587231115500594,0.3901648755679908,0.4086489490728013,0.4424583354552843,0.4019262877297304,0.39066243321726524,0.4577907744085728,0.4289168110584761,0.4562447120927558,0.43359142069864054
IL5,0.38901730519407757,0.32181926843929387,0.3082743948118245,0.334077398347691,0.3273692368004297,0.450788989688689,0.3814230139240013,0.3892833930336488,0.3507906240911196,0.3736378766295395,0.3398747761760752,0.33126742028072265,0.3054808395271241,0.4246267630226499,0.0,0.43577863662577804,0.279638255449889,0.46348624734562655,0.18125496928235402,0.30359503664432363,0.3805502043092058,0.3679331558299026,0.3101850419028974,0.3677264988067497,0.4305560726429996,0.42592478516691945,0.3643325498800405,0.3896269100519459,0.4683347695419404,0.3856387101805252,0.5034431502181992,0.3534260679797562,0.3060652104969367,0.31294716851230464,0.40022376233764306,0.2826675869509423,0.5023341124513254
IL6,0.18964902324486999,0.40096028060073813,0.2844656293937663,0.34716570618341513,0.4305986166173456,0.16941107436808522,0.27893663876149655,0.37295742653309477,0.3308854520309096,0.31776386731804934,0.19561270084195176,0.2858308321577617,0.3231905340326878,0.42095918799329946,0.43577863662577804,0.0,0.3892420541439082,0.17473147375221415,0.3305524882274953,0.24410961210493892,0.29656080174112287,0.33051938360365707,0.3459189908616498,0.21268468189493722,0.2693785475502689,0.11612974908755724,0.260440921968581,0.4481663784640031,0.21273260252818482,0.2583944575967807,0.550351520338406,0.3738937385823565,0.30316561396243413,0.5161689398072012,0.32614554648964056,0.43048543261665834,0.3278991102702473
IL7,0.29867356092480707,0.30788188275035977,0.20545310357365976,0.3925217624411165,0.37954917443480407,0.37097179000491454,0.374795366778512,0.3339736015699528,0.2973183058148863,0.27583723175290203,0.2892726299386579,0.3344373816476801,0.2944899715772844,0.4307263541084907,0.279638255449889,0.3892420541439082,0.0,0.4753629856197786,0.22849843252017027,0.3810639942286659,0.3069578873461326,0.23533901505183674,0.31782066161333966,0.2521717314127137,0.45211840247576285,0.4334040765063848,0.33934752281019487,0.45749419322258755,0.4421310371271546,0.2448666472170271,0.3698261646927903,0.35867099564548854,0.2737806593759218,0.2584548559071198,0.24989265837369,0.2318433369626699,0.45791186835019126
