,TNFα,TNFβ,IFNα2,IFNγ,Eotaxin,GCSF,GM-CSF,GRO,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,VEGF,FKN,EGF,FGF-2,TGFα,FLT3L
TNFα,0.0,0.987,0.6679999999999999,0.902,0.6819999999999999,0.5920000000000001,0.891,0.626,0.883,0.973,0.31299999999999994,0.975,0.966,0.983,0.903,0.626,0.743,0.639,0.921,0.596,0.971,0.7010000000000001,0.987,0.901,0.5920000000000001,0.626,0.943,0.628,0.5449999999999999,0.20599999999999996,0.6819999999999999,0.894,0.645,0.755,0.6859999999999999,0.846,0.513
TNFβ,0.987,0.0,0.971,0.993,0.996,0.997,0.993,0.988,0.978,0.038000000000000034,0.974,0.04300000000000004,0.19199999999999995,0.017000000000000015,0.777,0.996,0.951,0.993,0.679,0.992,0.038000000000000034,0.919,0.0,0.16300000000000003,0.997,0.997,0.10899999999999999,0.985,0.911,0.984,0.989,0.993,0.667,0.997,0.907,0.957,0.869
IFNα2,0.6679999999999999,0.971,0.0,0.593,0.489,0.971,0.594,0.46799999999999997,0.5469999999999999,0.963,0.761,0.959,0.896,0.971,0.5920000000000001,0.986,0.245,0.989,0.644,0.971,0.966,0.235,0.971,0.954,0.971,0.986,0.966,0.492,0.94,0.595,0.42200000000000004,0.579,0.517,0.42300000000000004,0.385,0.46699999999999997,0.876
IFNγ,0.902,0.993,0.593,0.0,0.44799999999999995,0.938,0.015000000000000013,0.788,0.14900000000000002,1.0,0.951,0.995,0.871,0.996,0.474,0.935,0.5509999999999999,0.926,0.538,0.944,1.0,0.611,0.993,0.997,0.945,0.935,0.989,0.767,0.922,0.9339999999999999,0.7090000000000001,0.031000000000000028,0.878,0.517,0.7130000000000001,0.33599999999999997,0.955
Eotaxin,0.6819999999999999,0.996,0.489,0.44799999999999995,0.0,0.951,0.44199999999999995,0.42500000000000004,0.52,0.994,0.794,0.991,0.902,0.994,0.508,0.961,0.515,0.957,0.575,0.951,0.995,0.5489999999999999,0.996,0.99,0.951,0.96,0.991,0.401,0.902,0.661,0.45099999999999996,0.43100000000000005,0.732,0.32299999999999995,0.639,0.45399999999999996,0.877
GCSF,0.5920000000000001,0.997,0.971,0.938,0.951,0.0,0.937,0.948,0.931,0.992,0.478,0.992,0.979,0.995,0.979,0.05400000000000005,0.973,0.07099999999999995,0.978,0.020000000000000018,0.99,0.969,0.997,0.895,0.013000000000000012,0.05300000000000005,0.942,0.944,0.364,0.765,0.985,0.953,0.927,0.993,0.971,0.968,0.518
GM-CSF,0.891,0.993,0.594,0.015000000000000013,0.44199999999999995,0.937,0.0,0.78,0.16400000000000003,1.0,0.942,0.995,0.871,0.996,0.481,0.933,0.556,0.924,0.544,0.943,1.0,0.612,0.993,0.997,0.944,0.933,0.989,0.757,0.918,0.924,0.706,0.038000000000000034,0.875,0.513,0.71,0.34099999999999997,0.953
GRO,0.626,0.988,0.46799999999999997,0.788,0.42500000000000004,0.948,0.78,0.0,0.839,0.985,0.6759999999999999,0.984,0.949,0.986,0.702,0.954,0.5329999999999999,0.954,0.736,0.951,0.984,0.44099999999999995,0.988,0.978,0.949,0.954,0.964,0.06499999999999995,0.835,0.45299999999999996,0.124,0.767,0.599,0.33099999999999996,0.352,0.7150000000000001,0.744
IL1α,0.883,0.978,0.5469999999999999,0.14900000000000002,0.52,0.931,0.16400000000000003,0.839,0.0,0.984,0.938,0.975,0.8180000000000001,0.978,0.43600000000000005,0.952,0.45699999999999996,0.951,0.515,0.935,0.985,0.626,0.978,0.963,0.9359999999999999,0.952,0.986,0.8200000000000001,0.975,0.915,0.754,0.16700000000000004,0.85,0.562,0.778,0.21999999999999997,0.996
IL1β,0.973,0.038000000000000034,0.963,1.0,0.994,0.992,1.0,0.985,0.984,0.0,0.96,0.017000000000000015,0.19599999999999995,0.03300000000000003,0.785,0.994,0.946,0.991,0.679,0.987,0.010000000000000009,0.911,0.038000000000000034,0.14300000000000002,0.992,0.995,0.13,0.982,0.906,0.967,0.986,1.0,0.65,0.996,0.9,0.959,0.865
IL1Ra/Ra2,0.31299999999999994,0.974,0.761,0.951,0.794,0.478,0.942,0.6759999999999999,0.938,0.96,0.0,0.965,0.967,0.972,0.915,0.505,0.813,0.517,0.922,0.476,0.956,0.7969999999999999,0.974,0.91,0.47,0.504,0.903,0.683,0.469,0.33799999999999997,0.735,0.949,0.688,0.8220000000000001,0.704,0.897,0.44499999999999995
IL2,0.975,0.04300000000000004,0.959,0.995,0.991,0.992,0.995,0.984,0.975,0.017000000000000015,0.965,0.0,0.19099999999999995,0.03600000000000003,0.773,0.994,0.9410000000000001,0.991,0.6659999999999999,0.987,0.02300000000000002,0.906,0.04300000000000004,0.15400000000000003,0.992,0.995,0.137,0.981,0.912,0.969,0.986,0.995,0.661,0.996,0.9,0.952,0.87
IL3,0.966,0.19199999999999995,0.896,0.871,0.902,0.979,0.871,0.949,0.8180000000000001,0.19599999999999995,0.967,0.19099999999999995,0.0,0.18700000000000006,0.648,0.985,0.865,0.983,0.556,0.973,0.20199999999999996,0.869,0.19199999999999995,0.30600000000000005,0.979,0.986,0.29900000000000004,0.944,0.927,0.973,0.94,0.872,0.688,0.924,0.882,0.802,0.899
IL4,0.983,0.017000000000000015,0.971,0.996,0.994,0.995,0.996,0.986,0.978,0.03300000000000003,0.972,0.03600000000000003,0.18700000000000006,0.0,0.778,0.996,0.951,0.993,0.6759999999999999,0.99,0.031000000000000028,0.919,0.017000000000000015,0.15700000000000003,0.995,0.997,0.11599999999999999,0.983,0.91,0.978,0.987,0.996,0.665,0.998,0.901,0.956,0.867
IL5,0.903,0.777,0.5920000000000001,0.474,0.508,0.979,0.481,0.702,0.43600000000000005,0.785,0.915,0.773,0.648,0.778,0.0,0.996,0.42500000000000004,0.996,0.11299999999999999,0.968,0.791,0.654,0.777,0.8180000000000001,0.975,0.995,0.8009999999999999,0.6950000000000001,0.987,0.891,0.6659999999999999,0.471,0.681,0.565,0.762,0.32099999999999995,0.972
IL6,0.626,0.996,0.986,0.935,0.961,0.05400000000000005,0.933,0.954,0.952,0.994,0.505,0.994,0.985,0.996,0.996,0.0,0.997,0.017000000000000015,0.994,0.06299999999999994,0.992,0.976,0.996,0.903,0.05700000000000005,0.0010000000000000009,0.927,0.951,0.31000000000000005,0.79,0.99,0.947,0.943,1.0,0.968,0.998,0.476
IL7,0.743,0.951,0.245,0.5509999999999999,0.515,0.973,0.556,0.5329999999999999,0.45699999999999996,0.946,0.813,0.9410000000000001,0.865,0.951,0.42500000000000004,0.997,0.0,0.999,0.506,0.972,0.951,0.33099999999999996,0.951,0.9299999999999999,0.971,0.997,0.958,0.562,0.984,0.681,0.43300000000000005,0.544,0.617,0.404,0.508,0.279,0.946
IL8,0.639,0.993,0.989,0.926,0.957,0.07099999999999995,0.924,0.954,0.951,0.991,0.517,0.991,0.983,0.993,0.996,0.017000000000000015,0.999,0.0,0.994,0.07999999999999996,0.991,0.974,0.993,0.9,0.07399999999999995,0.018000000000000016,0.924,0.951,0.29800000000000004,0.798,0.991,0.937,0.942,1.0,0.968,0.999,0.469
IL9,0.921,0.679,0.644,0.538,0.575,0.978,0.544,0.736,0.515,0.679,0.922,0.6659999999999999,0.556,0.6759999999999999,0.11299999999999999,0.994,0.506,0.994,0.0,0.966,0.6859999999999999,0.6910000000000001,0.679,0.719,0.973,0.993,0.716,0.727,0.981,0.908,0.704,0.5349999999999999,0.6639999999999999,0.616,0.779,0.42100000000000004,0.962
IL10,0.596,0.992,0.971,0.944,0.951,0.020000000000000018,0.943,0.951,0.935,0.987,0.476,0.987,0.973,0.99,0.968,0.06299999999999994,0.972,0.07999999999999996,0.966,0.0,0.985,0.97,0.992,0.888,0.007000000000000006,0.062000000000000055,0.937,0.947,0.366,0.767,0.987,0.959,0.918,0.994,0.975,0.968,0.52
IL12-P40,0.971,0.038000000000000034,0.966,1.0,0.995,0.99,1.0,0.984,0.985,0.010000000000000009,0.956,0.02300000000000002,0.20199999999999996,0.031000000000000028,0.791,0.992,0.951,0.991,0.6859999999999999,0.985,0.0,0.914,0.038000000000000034,0.14500000000000002,0.99,0.993,0.122,0.981,0.904,0.964,0.986,1.0,0.648,0.998,0.897,0.963,0.86
IL12-P70,0.7010000000000001,0.919,0.235,0.611,0.5489999999999999,0.969,0.612,0.44099999999999995,0.626,0.911,0.7969999999999999,0.906,0.869,0.919,0.654,0.976,0.33099999999999996,0.974,0.6910000000000001,0.97,0.914,0.0,0.919,0.912,0.97,0.976,0.917,0.46199999999999997,0.872,0.623,0.398,0.608,0.522,0.43500000000000005,0.25,0.548,0.795
IL13,0.987,0.0,0.971,0.993,0.996,0.997,0.993,0.988,0.978,0.038000000000000034,0.974,0.04300000000000004,0.19199999999999995,0.017000000000000015,0.777,0.996,0.951,0.993,0.679,0.992,0.038000000000000034,0.919,0.0,0.16300000000000003,0.997,0.997,0.10899999999999999,0.985,0.911,0.984,0.989,0.993,0.667,0.997,0.907,0.957,0.869
IL15,0.901,0.16300000000000003,0.954,0.997,0.99,0.895,0.997,0.978,0.963,0.14300000000000002,0.91,0.15400000000000003,0.30600000000000005,0.15700000000000003,0.8180000000000001,0.903,0.9299999999999999,0.9,0.719,0.888,0.14500000000000002,0.912,0.16300000000000003,0.0,0.893,0.904,0.21599999999999997,0.978,0.838,0.907,0.979,0.996,0.6,0.987,0.897,0.9390000000000001,0.817
IP10,0.5920000000000001,0.997,0.971,0.945,0.951,0.013000000000000012,0.944,0.949,0.9359999999999999,0.992,0.47,0.992,0.979,0.995,0.975,0.05700000000000005,0.971,0.07399999999999995,0.973,0.007000000000000006,0.99,0.97,0.997,0.893,0.0,0.05600000000000005,0.9410000000000001,0.945,0.362,0.763,0.986,0.96,0.921,0.994,0.973,0.968,0.516
MCP1,0.626,0.997,0.986,0.935,0.96,0.05300000000000005,0.933,0.954,0.952,0.995,0.504,0.995,0.986,0.997,0.995,0.0010000000000000009,0.997,0.018000000000000016,0.993,0.062000000000000055,0.993,0.976,0.997,0.904,0.05600000000000005,0.0,0.928,0.951,0.31100000000000005,0.79,0.99,0.947,0.943,1.0,0.968,0.998,0.477
MCP3,0.943,0.10899999999999999,0.966,0.989,0.991,0.942,0.989,0.964,0.986,0.13,0.903,0.137,0.29900000000000004,0.11599999999999999,0.8009999999999999,0.927,0.958,0.924,0.716,0.937,0.122,0.917,0.10899999999999999,0.21599999999999997,0.9410000000000001,0.928,0.0,0.961,0.8240000000000001,0.937,0.971,0.989,0.659,0.994,0.873,0.968,0.768
MDC,0.628,0.985,0.492,0.767,0.401,0.944,0.757,0.06499999999999995,0.8200000000000001,0.982,0.683,0.981,0.944,0.983,0.6950000000000001,0.951,0.562,0.951,0.727,0.947,0.981,0.46199999999999997,0.985,0.978,0.945,0.951,0.961,0.0,0.831,0.47,0.16600000000000004,0.752,0.599,0.349,0.363,0.727,0.735
MIP1α,0.5449999999999999,0.911,0.94,0.922,0.902,0.364,0.918,0.835,0.975,0.906,0.469,0.912,0.927,0.91,0.987,0.31000000000000005,0.984,0.29800000000000004,0.981,0.366,0.904,0.872,0.911,0.838,0.362,0.31100000000000005,0.8240000000000001,0.831,0.0,0.64,0.897,0.9299999999999999,0.84,0.947,0.808,0.996,0.18700000000000006
MIP1β,0.20599999999999996,0.984,0.595,0.9339999999999999,0.661,0.765,0.924,0.45299999999999996,0.915,0.967,0.33799999999999997,0.969,0.973,0.978,0.891,0.79,0.681,0.798,0.908,0.767,0.964,0.623,0.984,0.907,0.763,0.79,0.937,0.47,0.64,0.0,0.516,0.924,0.569,0.648,0.53,0.841,0.54
sCD40-L,0.6819999999999999,0.989,0.42200000000000004,0.7090000000000001,0.45099999999999996,0.985,0.706,0.124,0.754,0.986,0.735,0.986,0.94,0.987,0.6659999999999999,0.99,0.43300000000000005,0.991,0.704,0.987,0.986,0.398,0.989,0.979,0.986,0.99,0.971,0.16600000000000004,0.897,0.516,0.0,0.688,0.602,0.21899999999999997,0.33099999999999996,0.619,0.819
VEGF,0.894,0.993,0.579,0.031000000000000028,0.43100000000000005,0.953,0.038000000000000034,0.767,0.16700000000000004,1.0,0.949,0.995,0.872,0.996,0.471,0.947,0.544,0.937,0.5349999999999999,0.959,1.0,0.608,0.993,0.996,0.96,0.947,0.989,0.752,0.9299999999999999,0.924,0.688,0.0,0.871,0.487,0.7130000000000001,0.32799999999999996,0.954
FKN,0.645,0.667,0.517,0.878,0.732,0.927,0.875,0.599,0.85,0.65,0.688,0.661,0.688,0.665,0.681,0.943,0.617,0.942,0.6639999999999999,0.918,0.648,0.522,0.667,0.6,0.921,0.943,0.659,0.599,0.84,0.569,0.602,0.871,0.0,0.6839999999999999,0.483,0.786,0.734
EGF,0.755,0.997,0.42300000000000004,0.517,0.32299999999999995,0.993,0.513,0.33099999999999996,0.562,0.996,0.8220000000000001,0.996,0.924,0.998,0.565,1.0,0.404,1.0,0.616,0.994,0.998,0.43500000000000005,0.997,0.987,0.994,1.0,0.994,0.349,0.947,0.648,0.21899999999999997,0.487,0.6839999999999999,0.0,0.475,0.45399999999999996,0.901
FGF-2,0.6859999999999999,0.907,0.385,0.7130000000000001,0.639,0.971,0.71,0.352,0.778,0.9,0.704,0.9,0.882,0.901,0.762,0.968,0.508,0.968,0.779,0.975,0.897,0.25,0.907,0.897,0.973,0.968,0.873,0.363,0.808,0.53,0.33099999999999996,0.7130000000000001,0.483,0.475,0.0,0.725,0.655
TGFα,0.846,0.957,0.46699999999999997,0.33599999999999997,0.45399999999999996,0.968,0.34099999999999997,0.7150000000000001,0.21999999999999997,0.959,0.897,0.952,0.802,0.956,0.32099999999999995,0.998,0.279,0.999,0.42100000000000004,0.968,0.963,0.548,0.957,0.9390000000000001,0.968,0.998,0.968,0.727,0.996,0.841,0.619,0.32799999999999996,0.786,0.45399999999999996,0.725,0.0,0.994
