,TNFα,TNFβ,IFNα2,IFNγ,Eotaxin,GCSF,GM-CSF,GRO,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,VEGF,FKN,EGF,FGF-2,TGFα,FLT3L
TNFα,0.0,0.571,0.29600000000000004,0.702,0.788,0.583,0.696,0.917,0.671,0.475,0.139,0.46699999999999997,0.509,0.581,0.671,0.677,0.471,0.727,0.507,0.622,0.485,0.31200000000000006,0.571,0.391,0.623,0.677,0.548,0.935,0.7030000000000001,0.09999999999999998,0.987,0.7130000000000001,0.22899999999999998,0.79,0.30900000000000005,0.665,0.741
TNFβ,0.571,0.0,0.538,0.865,0.919,0.983,0.866,0.978,0.839,0.121,0.534,0.133,0.19999999999999996,0.018000000000000016,0.768,0.987,0.64,0.972,0.45399999999999996,0.991,0.11499999999999999,0.5529999999999999,0.0,0.23399999999999999,0.997,0.987,0.09799999999999998,0.981,0.938,0.514,0.994,0.859,0.43500000000000005,0.897,0.5489999999999999,0.802,0.925
IFNα2,0.29600000000000004,0.538,0.0,0.5549999999999999,0.708,0.776,0.5549999999999999,0.9,0.527,0.44799999999999995,0.263,0.43700000000000006,0.471,0.55,0.5429999999999999,0.849,0.28700000000000003,0.863,0.41200000000000003,0.806,0.45999999999999996,0.11299999999999999,0.538,0.396,0.8089999999999999,0.849,0.525,0.9299999999999999,0.838,0.22199999999999998,0.96,0.556,0.18600000000000005,0.6619999999999999,0.15000000000000002,0.528,0.852
IFNγ,0.702,0.865,0.5549999999999999,0.0,0.363,0.806,0.013000000000000012,0.905,0.08799999999999997,0.878,0.7,0.868,0.795,0.872,0.238,0.892,0.42900000000000005,0.906,0.546,0.83,0.876,0.552,0.865,0.841,0.829,0.892,0.874,0.894,0.899,0.6859999999999999,0.951,0.03500000000000003,0.7030000000000001,0.31999999999999995,0.599,0.18999999999999995,0.98
Eotaxin,0.788,0.919,0.708,0.363,0.0,0.894,0.369,0.646,0.403,0.924,0.8,0.919,0.878,0.922,0.371,0.959,0.5840000000000001,0.978,0.6639999999999999,0.898,0.921,0.721,0.919,0.9,0.899,0.959,0.933,0.603,0.974,0.772,0.6859999999999999,0.33099999999999996,0.8009999999999999,0.238,0.761,0.373,0.989
GCSF,0.583,0.983,0.776,0.806,0.894,0.0,0.7969999999999999,0.954,0.791,0.911,0.64,0.904,0.893,0.985,0.862,0.17900000000000005,0.829,0.241,0.853,0.049000000000000044,0.918,0.779,0.983,0.835,0.04300000000000004,0.17900000000000005,0.922,0.94,0.30400000000000005,0.6819999999999999,0.999,0.835,0.758,0.92,0.759,0.858,0.46399999999999997
GM-CSF,0.696,0.866,0.5549999999999999,0.013000000000000012,0.369,0.7969999999999999,0.0,0.906,0.10099999999999998,0.877,0.694,0.867,0.795,0.873,0.245,0.884,0.42900000000000005,0.898,0.546,0.823,0.875,0.5529999999999999,0.866,0.839,0.8220000000000001,0.884,0.873,0.897,0.891,0.6819999999999999,0.952,0.04600000000000004,0.704,0.32599999999999996,0.599,0.19799999999999995,0.973
GRO,0.917,0.978,0.9,0.905,0.646,0.954,0.906,0.0,0.913,0.966,0.909,0.965,0.964,0.974,0.911,0.961,0.91,0.965,0.942,0.959,0.964,0.883,0.978,0.957,0.959,0.961,0.969,0.119,0.952,0.904,0.11699999999999999,0.896,0.917,0.6859999999999999,0.872,0.912,0.891
IL1α,0.671,0.839,0.527,0.08799999999999997,0.403,0.791,0.10099999999999998,0.913,0.0,0.845,0.669,0.837,0.743,0.852,0.21799999999999997,0.899,0.392,0.92,0.515,0.8140000000000001,0.848,0.5389999999999999,0.839,0.806,0.8140000000000001,0.899,0.855,0.905,0.919,0.649,0.958,0.09799999999999998,0.6679999999999999,0.356,0.595,0.16200000000000003,0.998
IL1β,0.475,0.121,0.44799999999999995,0.878,0.924,0.911,0.877,0.966,0.845,0.0,0.43300000000000005,0.01200000000000001,0.118,0.129,0.757,0.933,0.583,0.931,0.386,0.922,0.02200000000000002,0.46799999999999997,0.121,0.11499999999999999,0.929,0.933,0.15700000000000003,0.986,0.901,0.41300000000000003,0.997,0.878,0.31999999999999995,0.908,0.45299999999999996,0.7989999999999999,0.887
IL1Ra/Ra2,0.139,0.534,0.263,0.7,0.8,0.64,0.694,0.909,0.669,0.43300000000000005,0.0,0.42400000000000004,0.47,0.5429999999999999,0.673,0.721,0.46199999999999997,0.747,0.482,0.677,0.44199999999999995,0.29200000000000004,0.534,0.353,0.6799999999999999,0.721,0.46499999999999997,0.933,0.7130000000000001,0.08699999999999997,0.977,0.7070000000000001,0.18600000000000005,0.785,0.252,0.671,0.751
