,TNFα,TNFβ,IFNα2,IFNγ,Eotaxin,GCSF,GM-CSF,GRO,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,VEGF,FKN,EGF,FGF-2,TGFα,FLT3L
TNFα,0.0,0.6325129655269703,0.4984543749345077,0.5647768101184759,0.4396883353090499,0.3894027816856853,0.4865313685822676,0.5354369810978064,0.49659063142377663,0.4887703577963793,0.4444145493123535,0.5631957196701092,0.5369495488302554,0.5834120528575031,0.613144476856073,0.3732764628001476,0.5203746981267579,0.4676661793310998,0.6190149469519672,0.44824964122857813,0.5390931840254642,0.5270875274114872,0.6817473161948739,0.5059275796309959,0.3960338800929916,0.30919791113109685,0.6477200726613164,0.5304082473518578,0.5097786771880994,0.3442835138073874,0.6068217288762969,0.513106173188621,0.49667433378047393,0.5708204997626443,0.5916951993007977,0.5399928463548714,0.47479348799988474
TNFβ,0.6325129655269703,0.0,0.6579214448327466,0.4770822115323835,0.5689388208321801,0.617208433944607,0.6093220083825939,0.6385716504391127,0.5049830364250716,0.36053608609171633,0.5821812142355669,0.40415378745500513,0.3571905503093579,0.28477888664056017,0.4473020649008051,0.6231641367354045,0.4949356330373813,0.6005088152838501,0.48240136383666427,0.6386496555030129,0.35103758691484344,0.5262162135179933,0.12055389706120867,0.4855545260349522,0.7187714415565633,0.6943595988728894,0.28683927391883507,0.5641829875277569,0.49583028305423676,0.6253642578388585,0.5585806030496109,0.5100161002762532,0.4903761104638351,0.5380670396597278,0.5859496993023399,0.456815530145015,0.5834047419303506
IFNα2,0.4984543749345077,0.6579214448327466,0.0,0.5163872941519898,0.4589481808607061,0.5725300227158902,0.48436234034254677,0.5028224326812629,0.4321103767480524,0.513573899303272,0.483489228212649,0.5556351721793195,0.6041463057432047,0.549024707680073,0.49114691683357514,0.5917819448748207,0.362187804334112,0.6472331080459865,0.48640194939537457,0.5768580576294163,0.4860212927145118,0.4114712850445386,0.5927690690311697,0.585564275540679,0.5335413443273701,0.5461797815108759,0.5973675918410738,0.5434226380407882,0.567824005482697,0.4429323151689209,0.4746940751526725,0.45235833227784866,0.4192138388139808,0.423655261046046,0.41079048322222456,0.45145191158156645,0.5277631575772639
IFNγ,0.5647768101184759,0.4770822115323835,0.5163872941519898,0.0,0.42450444137466214,0.549522621280727,0.28863276831949636,0.6294574053034172,0.3468415655962868,0.7031060830765231,0.576695912793644,0.546759690100372,0.5709730036016254,0.5728848405018916,0.46249827746883737,0.565632089372289,0.5876976882239987,0.3956619573087151,0.5082270671276213,0.5163274031416493,0.664587077663065,0.41466956510556063,0.5000224800573265,0.6800363564946428,0.47465047903773,0.5431418257312416,0.5815512957251298,0.5072667068045864,0.4596091050384901,0.6625599020334554,0.5632657163405934,0.27257477293322674,0.6023688830423743,0.3879308153079349,0.496666708694236,0.493702047042731,0.5406836215305484
Eotaxin,0.4396883353090499,0.5689388208321801,0.4589481808607061,0.42450444137466214,0.0,0.5963249860480487,0.43463666374584825,0.44553036599182005,0.5061876441900659,0.5754926758159604,0.5180374032043199,0.5974826634023669,0.556135578438088,0.5705472482552437,0.4151036394209603,0.615737990550229,0.5080417455881328,0.6010562475012255,0.460939648032028,0.5337596208013613,0.6004107531729153,0.5112706491592345,0.6153012445515214,0.6671325281636931,0.49553562428475206,0.5013395313478519,0.6591794597312226,0.415479482192211,0.5898668536432088,0.459490283929027,0.4609456495877745,0.4138223377031809,0.5378276847058371,0.30464690552381235,0.5888783672756517,0.4371371000841916,0.5765723177169562
GCSF,0.3894027816856853,0.617208433944607,0.5725300227158902,0.549522621280727,0.5963249860480487,0.0,0.45355214901018426,0.4908539832567005,0.469519956051061,0.5370468622935037,0.42740227655154583,0.5035856119510593,0.5458479986222798,0.6281320378860923,0.6331744299708145,0.2789158821605662,0.563709970916949,0.3583008854043468,0.6033628283335425,0.36705888768229217,0.5980003084142146,0.5607745515826296,0.615813249076014,0.4538348747420529,0.2994269828245959,0.32459137544038486,0.5827813002769242,0.5341080777819182,0.492333888597888,0.4925208310254546,0.5799987289041543,0.6187259859147674,0.5695596619570082,0.5805854544755422,0.6217176851767654,0.4777909379766814,0.5723026699663631
GM-CSF,0.4865313685822676,0.6093220083825939,0.48436234034254677,0.28863276831949636,0.43463666374584825,0.45355214901018426,0.0,0.5406567847437072,0.4111440073729121,0.7027050065550404,0.5600884864219094,0.5593686260696693,0.6205877288985587,0.6226123870700353,0.5555461533467422,0.490782554000175,0.5973469409554498,0.36351025142767285,0.48277995258757855,0.5592361317113339,0.7116812373342177,0.5057632129663386,0.639231538954853,0.6562486539473051,0.505340054301839,0.4415292524204002,0.6186243755850237,0.5042293128163087,0.4297666786429378,0.5315169128990992,0.4906610166038058,0.31785117341908753,0.6167349497438113,0.40311544007290145,0.4452331121053787,0.46101307122734586,0.5938629936165769
GRO,0.5354369810978064,0.6385716504391127,0.5028224326812629,0.6294574053034172,0.44553036599182005,0.4908539832567005,0.5406567847437072,0.0,0.6498727256512328,0.48725284726417883,0.48716320896970045,0.5856123354616467,0.5709421582862373,0.5552779252056375,0.5077469429391452,0.5532168413085394,0.4626111088855661,0.52950542274702,0.5688871624423937,0.4980048920747275,0.5846072438827625,0.5026693702704181,0.6281350909697073,0.6234843483060672,0.5804555391515225,0.5087964003545974,0.5710273396573994,0.3628099877021498,0.4862866257712281,0.4062092168531151,0.3325915997546614,0.4958795974111345,0.5447626457712552,0.3955168914263206,0.4580250131412525,0.5060207987570917,0.4966970259279916
IL1α,0.49659063142377663,0.5049830364250716,0.4321103767480524,0.3468415655962868,0.5061876441900659,0.469519956051061,0.4111440073729121,0.6498727256512328,0.0,0.5637069819479728,0.5991914342257155,0.5597504908979625,0.4408679317310233,0.5348967907996351,0.4968061537018575,0.5586177248752074,0.45809071315851296,0.45956789707875956,0.5521113319868994,0.5580711948496117,0.6525877786928803,0.47052313354421965,0.4382672017051749,0.4991486499264563,0.4168953063501611,0.5352598953425156,0.6548573620008873,0.5704889325905759,0.5613364766054015,0.6056635618391888,0.5523663995247526,0.35904185783830134,0.5392619263553011,0.4336136459140934,0.5891952185170538,0.373597610482556,0.7081174186385698
IL1β,0.4887703577963793,0.36053608609171633,0.513573899303272,0.7031060830765231,0.5754926758159604,0.5370468622935037,0.7027050065550404,0.48725284726417883,0.5637069819479728,0.0,0.496582803440084,0.2627073912786246,0.33306858495182334,0.37418630390714447,0.5172167199284716,0.5163646575212743,0.4124622439839889,0.6499969643870199,0.4721950846460541,0.5223844481487013,0.23565796148518953,0.43982145460950267,0.4300813529484685,0.3488417533323625,0.6315153772949385,0.6214234803527021,0.47429431590285165,0.6161741233914271,0.5661994314514065,0.43808433020882276,0.5577380321828995,0.6955954289885851,0.4191447336822387,0.6489694357825978,0.5830049367803425,0.5374822396035241,0.5701855746624047
