,EGF,FGF-2,G-CSF,GM-CSF,IFNg,IL-10,IL-12p70,sCD-40L,IL-1ra,IL-1b,IL-2,IL-4,IL-5,IL-6,IL-8,IP-10,MCP-1,MIP-1a,MIP-1b,TNFa,VEGFa
EGF,0.0,0.2500586317642278,0.27648386201842867,0.21184627153295993,0.4382753245201264,0.35991180108286736,0.2684965535774601,0.16540862372441067,0.2539269618369797,0.26120569146145056,0.30416838537913704,0.26239284360576987,0.22033829812228178,0.282133043230709,0.24765605397492507,0.5865784961276976,0.33801462490665657,0.2071130616171002,0.28672923116097504,0.20617123177246316,0.3980631384592755
FGF-2,0.2500586317642278,0.0,0.13449190205664113,0.050212361901488034,0.33885241014169565,0.3719880557339378,0.2455074018674328,0.36569561702909187,0.14628330199321926,0.13682113782184896,0.10477998223802398,0.23594987051733618,0.19709373204212105,0.3084498027254179,0.27151703419719064,0.5850440825122362,0.41890850698710824,0.2203784460210409,0.3276867422684785,0.24150445814362592,0.5073089376947366
G-CSF,0.27648386201842867,0.13449190205664113,0.0,0.17606308311508084,0.2680420835337869,0.3205395497580681,0.2304720528250549,0.3417344635235936,0.24290889747895633,0.10003307271987516,0.1427920552317351,0.26320092686498575,0.261790464916988,0.32708387018349316,0.24324047070802185,0.5980387369703608,0.27949770975474686,0.2360341125027941,0.4001135328273083,0.2976445892468384,0.4969177740725919
GM-CSF,0.21184627153295993,0.050212361901488034,0.17606308311508084,0.0,0.3470999441798636,0.3724398544363622,0.24941633112620742,0.3834911921591171,0.09367565088433516,0.10316125233873086,0.09561927419631233,0.1537943486688006,0.13364285542779492,0.23077224457758122,0.21298844554696755,0.5475304375068791,0.38257759965313176,0.16377400034100215,0.3039469042780216,0.27174141980000394,0.5498956229008852
IFNg,0.4382753245201264,0.33885241014169565,0.2680420835337869,0.3470999441798636,0.0,0.3534889812329531,0.2834017524343092,0.5234826473875128,0.37465329364058,0.23364980095430304,0.3232547993386708,0.26540890372128106,0.29877322035251386,0.32704035772890094,0.2293166439355252,0.6055034674165017,0.3815303268365972,0.2756163766839138,0.37648553920329486,0.3948071922048088,0.4131113812765379
IL-10,0.35991180108286736,0.3719880557339378,0.3205395497580681,0.3724398544363622,0.3534889812329531,0.0,0.3559448968397419,0.484516470818032,0.38690611816617626,0.3322316890496503,0.3675861693871557,0.32357603248623734,0.35755590617347904,0.39031231804108224,0.2867812521713645,0.6251611735714906,0.3357960877044255,0.2984853923696076,0.47833913509597353,0.4102022065209117,0.4562192662765798
IL-12p70,0.2684965535774601,0.2455074018674328,0.2304720528250549,0.24941633112620742,0.2834017524343092,0.3559448968397419,0.0,0.39956629579720654,0.3112497717901618,0.2110476956305879,0.28328552261392115,0.32196330843948406,0.27115173703828455,0.30831033315922035,0.3282124357282672,0.6392072845227147,0.40324471215700564,0.26200710894628476,0.3151458202120183,0.3006745601071088,0.46861050433330875
sCD-40L,0.16540862372441067,0.36569561702909187,0.3417344635235936,0.3834911921591171,0.5234826473875128,0.484516470818032,0.39956629579720654,0.0,0.410551758577265,0.36222964613664016,0.3423642714483425,0.4772643493315648,0.43771064025315376,0.4905441677700821,0.424217922354604,0.5278910658882733,0.43101252667062695,0.4669544230728642,0.4321473194892752,0.2721888981199213,0.41573025426314025
IL-1ra,0.2539269618369797,0.14628330199321926,0.24290889747895633,0.09367565088433516,0.37465329364058,0.38690611816617626,0.3112497717901618,0.410551758577265,0.0,0.20486347009512357,0.16082446246294352,0.12678317429495584,0.11548678715291821,0.2077683524490911,0.14923000859540103,0.6389871469621331,0.31674916323409497,0.13645433952618552,0.3295241934533769,0.27382972784885495,0.6274643447075144
IL-1b,0.26120569146145056,0.13682113782184896,0.10003307271987516,0.10316125233873086,0.23364980095430304,0.3322316890496503,0.2110476956305879,0.36222964613664016,0.20486347009512357,0.0,0.06679068313908887,0.18776501232264015,0.17940283642743227,0.27672770360821625,0.24906504591884104,0.5579188530435256,0.32239794109768044,0.21533415415001966,0.37992334726302096,0.3076407256031489,0.48949690403430435
IL-2,0.30416838537913704,0.10477998223802398,0.1427920552317351,0.09561927419631233,0.3232547993386708,0.3675861693871557,0.28328552261392115,0.3423642714483425,0.16082446246294352,0.06679068313908887,0.0,0.24769813087388393,0.21082277656797938,0.3315199925651966,0.2947238589067222,0.6051963994696354,0.3377424270004391,0.2843648520636738,0.4338676347770697,0.2746847869350916,0.583920907968322
IL-4,0.26239284360576987,0.23594987051733618,0.26320092686498575,0.1537943486688006,0.26540890372128106,0.32357603248623734,0.32196330843948406,0.4772643493315648,0.12678317429495584,0.18776501232264015,0.24769813087388393,0.0,0.044223203603815375,0.07624505999479575,0.10159244092926034,0.5752055869312589,0.31070052816858607,0.05544803867904091,0.26067048476668014,0.3425116470955708,0.46757037729721057
IL-5,0.22033829812228178,0.19709373204212105,0.261790464916988,0.13364285542779492,0.29877322035251386,0.35755590617347904,0.27115173703828455,0.43771064025315376,0.11548678715291821,0.17940283642743227,0.21082277656797938,0.044223203603815375,0.0,0.04924086762026181,0.129507804577826,0.5465987996013876,0.37250780434179076,0.04257916901237946,0.27060978434122984,0.3488585030401211,0.48403413475275964
IL-6,0.282133043230709,0.3084498027254179,0.32708387018349316,0.23077224457758122,0.32704035772890094,0.39031231804108224,0.30831033315922035,0.4905441677700821,0.2077683524490911,0.27672770360821625,0.3315199925651966,0.07624505999479575,0.04924086762026181,0.0,0.13157602096793736,0.535690831664359,0.4054163818643986,0.06144040878221346,0.23426214527406997,0.44849722679071685,0.4997209732265644
IL-8,0.24765605397492507,0.27151703419719064,0.24324047070802185,0.21298844554696755,0.2293166439355252,0.2867812521713645,0.3282124357282672,0.424217922354604,0.14923000859540103,0.24906504591884104,0.2947238589067222,0.10159244092926034,0.129507804577826,0.13157602096793736,0.0,0.6328193676430212,0.28635978932795925,0.06613685078992076,0.30485758538369645,0.2933923159536026,0.5740896223238043
IP-10,0.5865784961276976,0.5850440825122362,0.5980387369703608,0.5475304375068791,0.6055034674165017,0.6251611735714906,0.6392072845227147,0.5278910658882733,0.6389871469621331,0.5579188530435256,0.6051963994696354,0.5752055869312589,0.5465987996013876,0.535690831664359,0.6328193676430212,0.0,0.6685538188386154,0.5928610475415441,0.5348557006874661,0.6809976103230737,0.4563281162276591
MCP-1,0.33801462490665657,0.41890850698710824,0.27949770975474686,0.38257759965313176,0.3815303268365972,0.3357960877044255,0.40324471215700564,0.43101252667062695,0.31674916323409497,0.32239794109768044,0.3377424270004391,0.31070052816858607,0.37250780434179076,0.4054163818643986,0.28635978932795925,0.6685538188386154,0.0,0.333965302077712,0.4051059982705483,0.26739448077456307,0.5388654608701058
MIP-1a,0.2071130616171002,0.2203784460210409,0.2360341125027941,0.16377400034100215,0.2756163766839138,0.2984853923696076,0.26200710894628476,0.4669544230728642,0.13645433952618552,0.21533415415001966,0.2843648520636738,0.05544803867904091,0.04257916901237946,0.06144040878221346,0.06613685078992076,0.5928610475415441,0.333965302077712,0.0,0.2743133558047878,0.3446496560547189,0.5102793272183195
MIP-1b,0.28672923116097504,0.3276867422684785,0.4001135328273083,0.3039469042780216,0.37648553920329486,0.47833913509597353,0.3151458202120183,0.4321473194892752,0.3295241934533769,0.37992334726302096,0.4338676347770697,0.26067048476668014,0.27060978434122984,0.23426214527406997,0.30485758538369645,0.5348557006874661,0.4051059982705483,0.2743133558047878,0.0,0.2946706187345139,0.27305893278094095
TNFa,0.20617123177246316,0.24150445814362592,0.2976445892468384,0.27174141980000394,0.3948071922048088,0.4102022065209117,0.3006745601071088,0.2721888981199213,0.27382972784885495,0.3076407256031489,0.2746847869350916,0.3425116470955708,0.3488585030401211,0.44849722679071685,0.2933923159536026,0.6809976103230737,0.26739448077456307,0.3446496560547189,0.2946706187345139,0.0,0.41563351671009185
VEGFa,0.3980631384592755,0.5073089376947366,0.4969177740725919,0.5498956229008852,0.4131113812765379,0.4562192662765798,0.46861050433330875,0.41573025426314025,0.6274643447075144,0.48949690403430435,0.583920907968322,0.46757037729721057,0.48403413475275964,0.4997209732265644,0.5740896223238043,0.4563281162276591,0.5388654608701058,0.5102793272183195,0.27305893278094095,0.41563351671009185,0.0
