,EGF,FGF-2,G-CSF,GM-CSF,IFNg,IL-10,IL-12p70,sCD-40L,IL-1ra,IL-1b,IL-2,IL-4,IL-5,IL-6,IL-8,IP-10,MCP-1,MIP-1a,MIP-1b,TNFa,VEGFa
EGF,0.0,0.5728465593467346,0.6052997600679629,0.5461668105071452,0.7236359664851366,0.5290334002126852,0.48935492207367154,0.18394244147261873,0.574268767813185,0.6485446801918708,0.6407978400177995,0.6678586033273386,0.5807740736825794,0.5771962977172386,0.5674889213849681,0.5254765142510233,0.5056949750607429,0.5309758965084104,0.47712824265101295,0.3550617143947403,0.42240318079819084
FGF-2,0.5728465593467346,0.0,0.32418259321358656,0.14024616191971723,0.5876499974683527,0.5754455218630179,0.4774409796908617,0.511841476976547,0.36675666110867755,0.3801982789092643,0.23981685291634108,0.6770049678732398,0.592007450371988,0.689773509236591,0.6913982309572297,0.5167755333536092,0.6747506695742274,0.644158110715267,0.5833135798081199,0.4428576825752666,0.5964787346152692
G-CSF,0.6052997600679629,0.32418259321358656,0.0,0.4817396906221095,0.44324046166658804,0.47475584221482675,0.432621951901621,0.46413844816857414,0.5782694164999975,0.2578160591703012,0.31454766064173817,0.7114894259439963,0.7417790873418071,0.6993508048601955,0.5874221769095601,0.5401016829560743,0.41751188651398097,0.6483151911657621,0.6971221792863462,0.535780861623631,0.5729246190202206
GM-CSF,0.5461668105071452,0.14024616191971723,0.4817396906221095,0.0,0.6595592659339744,0.6192038739613748,0.5320477950785479,0.5734313132660204,0.2637531943850282,0.3377740041657027,0.23521944772309195,0.5215743937755447,0.4804513502025368,0.5783267378420982,0.6259649365697634,0.43621460889151253,0.6599602924116093,0.5684401454374743,0.5851363644688456,0.5477567009300631,0.7017328711930115
IFNg,0.7236359664851366,0.5876499974683527,0.44324046166658804,0.6595592659339744,0.0,0.46073254010740433,0.42418497475791983,0.6522611100000413,0.6490649448200738,0.4020013822910324,0.5292424846025072,0.4738455381699759,0.5601518310540189,0.5260094877465411,0.3811680795196996,0.5655003037768214,0.5047712340220789,0.5003279711114111,0.5341799854181015,0.5757928291237003,0.43928197097635746
IL-10,0.5290334002126852,0.5754455218630179,0.47475584221482675,0.6192038739613748,0.46073254010740433,0.0,0.48960566810760703,0.5761925288685429,0.5974771216241528,0.5239802313866664,0.5432510470810414,0.5125874503459228,0.5953455211022147,0.5710332656969447,0.424295632506888,0.5942686931248037,0.4199783480902065,0.4646725940136218,0.6329930207132275,0.5538977555359381,0.48402911436782253
IL-12p70,0.48935492207367154,0.4774409796908617,0.432621951901621,0.5320477950785479,0.42418497475791983,0.48960566810760703,0.0,0.5176207631277713,0.6053152512171687,0.42805787509646165,0.519480526757874,0.6923791548007806,0.5939270476336548,0.5531848690654955,0.6466341831855313,0.6034697063126127,0.5668020353972132,0.5601201101241701,0.4818510051381467,0.4758584973082835,0.5139622680607429
sCD-40L,0.18394244147261873,0.511841476976547,0.46413844816857414,0.5734313132660204,0.6522611100000413,0.5761925288685429,0.5176207631277713,0.0,0.584975611248433,0.5213562215882662,0.4595762254321416,0.7503629066223219,0.6911371078909955,0.6802972247087565,0.6121270541861106,0.4924882020686522,0.516935540425352,0.738438483063161,0.5419263191274253,0.33928711289890723,0.4352472982027891
IL-1ra,0.574268767813185,0.36675666110867755,0.5782694164999975,0.2637531943850282,0.6490649448200738,0.5974771216241528,0.6053152512171687,0.584975611248433,0.0,0.5613455251069436,0.3655906996015694,0.3537466310858016,0.33387874905020576,0.45702245493404803,0.37428528166075253,0.6040988095499559,0.48841795942254274,0.3876394893006572,0.5815430003993981,0.502196391348629,0.7848425010809825
IL-1b,0.6485446801918708,0.3801982789092643,0.2578160591703012,0.3377740041657027,0.4020013822910324,0.5239802313866664,0.42805787509646165,0.5213562215882662,0.5613455251069436,0.0,0.15631432266713824,0.5990988433786751,0.6042985212970228,0.6684522782807659,0.6954300882939184,0.4624271381365319,0.5213559796747564,0.7021465184758071,0.7275598560297958,0.6087968526775417,0.5799334583608252
IL-2,0.6407978400177995,0.23981685291634108,0.31454766064173817,0.23521944772309195,0.5292424846025072,0.5432510470810414,0.519480526757874,0.4595762254321416,0.3655906996015694,0.15631432266713824,0.0,0.6350957656911418,0.5600171348671155,0.6827614702914839,0.6814200124856445,0.5526431530280952,0.5069679259872257,0.7452210861655396,0.7365278986022146,0.4799470456352584,0.6955098188016442
IL-4,0.6678586033273386,0.6770049678732398,0.7114894259439963,0.5215743937755447,0.4738455381699759,0.5125874503459228,0.6923791548007806,0.7503629066223219,0.3537466310858016,0.5990988433786751,0.6350957656911418,0.0,0.1533125438384884,0.1698460502443202,0.2880044532575463,0.49105867404439946,0.5037765154043695,0.18674122695701184,0.4821408466235451,0.6986143949294746,0.5438272837834586
