,EGF,FGF-2,G-CSF,GM-CSF,IFNg,IL-10,IL-12p70,sCD-40L,IL-1ra,IL-1b,IL-2,IL-4,IL-5,IL-6,IL-8,IP-10,MCP-1,MIP-1a,MIP-1b,TNFa,VEGFa
EGF,0.0,0.6890000000000001,0.744,0.6930000000000001,0.879,0.7170000000000001,0.587,0.0010000000000000009,0.798,0.749,0.725,0.99,0.989,0.99,0.904,0.625,0.542,0.989,0.44499999999999995,0.18300000000000005,0.42500000000000004
FGF-2,0.6890000000000001,0.0,0.32399999999999995,0.039000000000000035,0.706,0.6950000000000001,0.53,0.6890000000000001,0.387,0.273,0.19199999999999995,0.865,0.863,0.863,0.877,0.7090000000000001,0.748,0.865,0.933,0.7,0.924
G-CSF,0.744,0.32399999999999995,0.0,0.361,0.491,0.516,0.382,0.743,0.647,0.09199999999999997,0.14900000000000002,0.951,0.957,0.957,0.865,0.752,0.569,0.958,0.922,0.704,0.882
GM-CSF,0.6930000000000001,0.039000000000000035,0.361,0.0,0.726,0.7090000000000001,0.5589999999999999,0.6930000000000001,0.355,0.30200000000000005,0.22499999999999998,0.829,0.827,0.827,0.86,0.6859999999999999,0.765,0.83,0.935,0.7110000000000001,0.9319999999999999
IFNg,0.879,0.706,0.491,0.726,0.0,0.399,0.45399999999999996,0.878,0.823,0.5409999999999999,0.603,0.6930000000000001,0.7030000000000001,0.7030000000000001,0.5800000000000001,0.716,0.619,0.6990000000000001,0.696,0.759,0.673
IL-10,0.7170000000000001,0.6950000000000001,0.516,0.7090000000000001,0.399,0.0,0.493,0.718,0.752,0.5640000000000001,0.611,0.7090000000000001,0.7170000000000001,0.718,0.558,0.783,0.41500000000000004,0.71,0.786,0.631,0.742
IL-12p70,0.587,0.53,0.382,0.5589999999999999,0.45399999999999996,0.493,0.0,0.5880000000000001,0.763,0.395,0.44299999999999995,0.928,0.928,0.928,0.885,0.748,0.615,0.927,0.677,0.5389999999999999,0.661
sCD-40L,0.0010000000000000009,0.6890000000000001,0.743,0.6930000000000001,0.878,0.718,0.5880000000000001,0.0,0.798,0.748,0.724,0.99,0.989,0.99,0.904,0.624,0.5409999999999999,0.989,0.44399999999999995,0.18400000000000005,0.42400000000000004
IL-1ra,0.798,0.387,0.647,0.355,0.823,0.752,0.763,0.798,0.0,0.624,0.548,0.495,0.496,0.497,0.531,0.851,0.6970000000000001,0.496,0.965,0.793,0.993
IL-1b,0.749,0.273,0.09199999999999997,0.30200000000000005,0.5409999999999999,0.5640000000000001,0.395,0.748,0.624,0.0,0.08099999999999996,0.933,0.937,0.937,0.889,0.736,0.615,0.94,0.931,0.722,0.896
IL-2,0.725,0.19199999999999995,0.14900000000000002,0.22499999999999998,0.603,0.611,0.44299999999999995,0.724,0.548,0.08099999999999996,0.0,0.943,0.946,0.946,0.906,0.755,0.628,0.95,0.954,0.7050000000000001,0.926
IL-4,0.99,0.865,0.951,0.829,0.6930000000000001,0.7090000000000001,0.928,0.99,0.495,0.933,0.943,0.0,0.014000000000000012,0.015000000000000013,0.22699999999999998,0.629,0.823,0.03200000000000003,0.767,0.986,0.81
IL-5,0.989,0.863,0.957,0.827,0.7030000000000001,0.7170000000000001,0.928,0.989,0.496,0.937,0.946,0.014000000000000012,0.0,0.0010000000000000009,0.238,0.624,0.829,0.020000000000000018,0.76,0.989,0.804
IL-6,0.99,0.863,0.957,0.827,0.7030000000000001,0.718,0.928,0.99,0.497,0.937,0.946,0.015000000000000013,0.0010000000000000009,0.0,0.237,0.624,0.8280000000000001,0.019000000000000017,0.759,0.988,0.8049999999999999
IL-8,0.904,0.877,0.865,0.86,0.5800000000000001,0.558,0.885,0.904,0.531,0.889,0.906,0.22699999999999998,0.238,0.237,0.0,0.772,0.6679999999999999,0.21799999999999997,0.8240000000000001,0.866,0.866
IP-10,0.625,0.7090000000000001,0.752,0.6859999999999999,0.716,0.783,0.748,0.624,0.851,0.736,0.755,0.629,0.624,0.624,0.772,0.0,0.806,0.64,0.376,0.728,0.385
MCP-1,0.542,0.748,0.569,0.765,0.619,0.41500000000000004,0.615,0.5409999999999999,0.6970000000000001,0.615,0.628,0.823,0.829,0.8280000000000001,0.6679999999999999,0.806,0.0,0.8200000000000001,0.7130000000000001,0.399,0.6950000000000001
MIP-1a,0.989,0.865,0.958,0.83,0.6990000000000001,0.71,0.927,0.989,0.496,0.94,0.95,0.03200000000000003,0.020000000000000018,0.019000000000000017,0.21799999999999997,0.64,0.8200000000000001,0.0,0.761,0.985,0.8109999999999999
MIP-1b,0.44499999999999995,0.933,0.922,0.935,0.696,0.786,0.677,0.44399999999999995,0.965,0.931,0.954,0.767,0.76,0.759,0.8240000000000001,0.376,0.7130000000000001,0.761,0.0,0.502,0.08099999999999996
TNFa,0.18300000000000005,0.7,0.704,0.7110000000000001,0.759,0.631,0.5389999999999999,0.18400000000000005,0.793,0.722,0.7050000000000001,0.986,0.989,0.988,0.866,0.728,0.399,0.985,0.502,0.0,0.486
VEGFa,0.42500000000000004,0.924,0.882,0.9319999999999999,0.673,0.742,0.661,0.42400000000000004,0.993,0.896,0.926,0.81,0.804,0.8049999999999999,0.866,0.385,0.6950000000000001,0.8109999999999999,0.08099999999999996,0.486,0.0
