,cy_1,cy_2,cy_3,cy_4,cy_5,cy_6,cy_7,cy_8,cy_9,cy_10,cy_11,cy_12,cy_13,cy_14,cy_15,cy_16,cy_17,cy_18,cy_19,cy_20
cy_1,0.0,0.517,0.9,1.0,0.839,0.732,0.615,0.07199999999999995,0.81,0.963,0.99,0.987,1.0,1.0,1.0,0.734,0.794,0.825,0.755,0.4
cy_2,0.517,0.0,0.996,0.995,0.993,0.968,0.913,0.5369999999999999,0.989,0.993,1.0,1.0,1.0,1.0,1.0,0.32399999999999995,0.33599999999999997,0.992,0.30200000000000005,0.698
cy_3,0.9,0.996,0.0,0.984,0.20899999999999996,0.712,0.521,0.902,0.266,0.399,0.274,0.281,0.377,0.993,0.29700000000000004,0.995,0.997,0.237,0.997,0.8049999999999999
cy_4,1.0,0.995,0.984,0.0,0.991,1.0,0.976,1.0,0.988,0.7170000000000001,0.979,0.961,0.786,0.45999999999999996,0.943,0.999,0.999,0.989,0.998,0.979
cy_5,0.839,0.993,0.20899999999999996,0.991,0.0,0.6739999999999999,0.349,0.841,0.06899999999999995,0.542,0.30500000000000005,0.29900000000000004,0.44499999999999995,0.995,0.33799999999999997,0.994,0.998,0.028000000000000025,0.999,0.8240000000000001
cy_6,0.732,0.968,0.712,1.0,0.6739999999999999,0.0,0.659,0.72,0.663,0.926,0.862,0.87,0.944,1.0,0.912,0.9,0.91,0.6779999999999999,0.968,0.626
cy_7,0.615,0.913,0.521,0.976,0.349,0.659,0.0,0.649,0.28400000000000003,0.632,0.603,0.5549999999999999,0.65,0.999,0.617,0.969,0.979,0.32099999999999995,0.973,0.587
cy_8,0.07199999999999995,0.5369999999999999,0.902,1.0,0.841,0.72,0.649,0.0,0.813,0.967,0.989,0.987,1.0,1.0,1.0,0.663,0.73,0.829,0.6910000000000001,0.46699999999999997
cy_9,0.81,0.989,0.266,0.988,0.06899999999999995,0.663,0.28400000000000003,0.813,0.0,0.5609999999999999,0.361,0.34099999999999997,0.483,0.995,0.382,0.989,0.994,0.051000000000000045,0.995,0.8109999999999999
cy_10,0.963,0.993,0.399,0.7170000000000001,0.542,0.926,0.632,0.967,0.5609999999999999,0.0,0.42900000000000005,0.43300000000000005,0.235,0.91,0.40800000000000003,0.996,0.999,0.554,0.998,0.831
cy_11,0.99,1.0,0.274,0.979,0.30500000000000005,0.862,0.603,0.989,0.361,0.42900000000000005,0.0,0.134,0.269,0.985,0.09599999999999997,0.998,0.997,0.32299999999999995,0.998,0.937
cy_12,0.987,1.0,0.281,0.961,0.29900000000000004,0.87,0.5549999999999999,0.987,0.34099999999999997,0.43300000000000005,0.134,0.0,0.21999999999999997,0.994,0.06999999999999995,1.0,1.0,0.31399999999999995,1.0,0.935
cy_13,1.0,1.0,0.377,0.786,0.44499999999999995,0.944,0.65,1.0,0.483,0.235,0.269,0.21999999999999997,0.0,0.9410000000000001,0.18200000000000005,1.0,1.0,0.46099999999999997,1.0,0.961
cy_14,1.0,1.0,0.993,0.45999999999999996,0.995,1.0,0.999,1.0,0.995,0.91,0.985,0.994,0.9410000000000001,0.0,0.986,1.0,1.0,0.995,1.0,1.0
cy_15,1.0,1.0,0.29700000000000004,0.943,0.33799999999999997,0.912,0.617,1.0,0.382,0.40800000000000003,0.09599999999999997,0.06999999999999995,0.18200000000000005,0.986,0.0,1.0,1.0,0.353,1.0,0.959
cy_16,0.734,0.32399999999999995,0.995,0.999,0.994,0.9,0.969,0.663,0.989,0.996,0.998,1.0,1.0,1.0,1.0,0.0,0.06699999999999995,0.992,0.13,0.881
cy_17,0.794,0.33599999999999997,0.997,0.999,0.998,0.91,0.979,0.73,0.994,0.999,0.997,1.0,1.0,1.0,1.0,0.06699999999999995,0.0,0.997,0.08199999999999996,0.921
cy_18,0.825,0.992,0.237,0.989,0.028000000000000025,0.6779999999999999,0.32099999999999995,0.829,0.051000000000000045,0.554,0.32299999999999995,0.31399999999999995,0.46099999999999997,0.995,0.353,0.992,0.997,0.0,0.998,0.819
cy_19,0.755,0.30200000000000005,0.997,0.998,0.999,0.968,0.973,0.6910000000000001,0.995,0.998,0.998,1.0,1.0,1.0,1.0,0.13,0.08199999999999996,0.998,0.0,0.909
cy_20,0.4,0.698,0.8049999999999999,0.979,0.8240000000000001,0.626,0.587,0.46699999999999997,0.8109999999999999,0.831,0.937,0.935,0.961,1.0,0.959,0.881,0.921,0.819,0.909,0.0
