,EGF,Eotaxin,FGF-2,FLT3L,FKN,GCSF,GM-CSF,GRO,IFNα2,IFNγ,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,TGFα,TNFα,TNFβ,VEGF
EGF,0.0,0.24399085873534893,0.27266746229004785,0.3840420258758754,0.21405410436113032,0.2600551964885322,0.22115743251327546,0.10867339554178207,0.2351374573336555,0.2546230796073648,0.3578496994173975,0.5074768178479375,0.29073100750383046,0.37014522211371087,0.4305572690997532,0.3592309078881687,0.45481044121248215,0.3284181046630266,0.4497429542573179,0.2243314953189976,0.46118991752675265,0.4377982602293402,0.3443245169138402,0.33655912037847024,0.4661432699712213,0.4583018287972735,0.18743570400680593,0.2744020696143026,0.21716886635851657,0.3251163499343459,0.21627845114598798,0.18420031730751496,0.19843428521896156,0.19493761542200405,0.24133448028385052,0.44725147184644787,0.19467226066197302
Eotaxin,0.24399085873534893,0.0,0.3749011664918528,0.3985220199195288,0.3658989000409476,0.36014257277109124,0.3209000771228584,0.26464930353248123,0.3630570505327267,0.33281738810569506,0.4569812473908751,0.530914431028304,0.4423313433208415,0.44285831490842603,0.5223774893618072,0.4405873520114949,0.48508762335814515,0.3644862436954679,0.5416153864412661,0.23789306064698423,0.5315165312601899,0.4989342643004699,0.4402657393251267,0.4483557519018347,0.5183913764554766,0.5198905284121391,0.25063205673727923,0.17124121418777777,0.37293625448384793,0.3147529232396197,0.2590589291299371,0.31626991417528194,0.26842823810902305,0.28691802684104095,0.272945315426834,0.5278743005856428,0.30200840693246667
FGF-2,0.27266746229004785,0.3749011664918528,0.0,0.3387550663118116,0.15528513869532828,0.235709757187883,0.23957393231691843,0.2828203102739293,0.18039454289714363,0.23302791922766442,0.27272428529491555,0.2813018396337582,0.16345388971398211,0.22973635435624706,0.34891747735167045,0.3797136979110124,0.2754326600543344,0.20115145637987014,0.26549316160317654,0.2509602488898155,0.33630687135483694,0.2511879106654788,0.21512934748366758,0.22560923089656226,0.3915964713800294,0.24879586099873613,0.32055278638311424,0.4182745792063419,0.1800099595777182,0.4450508655712224,0.2835581851489489,0.1792032666594413,0.42167205962088794,0.18742974759475783,0.17609465441207595,0.2814322665642929,0.2118903581244766
FLT3L,0.3840420258758754,0.3985220199195288,0.3387550663118116,0.0,0.3887305619948599,0.4807429454566963,0.3569472780308828,0.4552376396542918,0.3654688521833952,0.25491314436881235,0.2799723572370192,0.3116170244885782,0.37391428049837083,0.21017476507042648,0.2987549521287035,0.2610152268247416,0.26819645704746276,0.28315026821419537,0.3001476463868412,0.39214446463571495,0.26726473483029367,0.3549484165519138,0.2971924842121546,0.22019140231789558,0.3129832494674709,0.2524066410659883,0.46003058124891055,0.4486375068257145,0.36032097825086506,0.46459593853352105,0.3859125698309387,0.4274373158380933,0.5313271479274801,0.32558533074418283,0.36333680222908027,0.28048082262508983,0.3434507274434303
FKN,0.21405410436113032,0.3658989000409476,0.15528513869532828,0.3887305619948599,0.0,0.2382222273861394,0.2120441514286715,0.24568296207340573,0.15151066580201056,0.2641318317732411,0.2407354621389215,0.3352906538221363,0.16118267984993317,0.20788961167543046,0.38046060750225313,0.36486809564834766,0.2944795085367714,0.231087232856522,0.33354978049851003,0.26053372292110144,0.35850601291148193,0.29356542433759203,0.18910500564760607,0.23685290303444817,0.4283444347195169,0.29531037109527003,0.29909531601895845,0.4211648632224469,0.1326621296514076,0.42357693249267664,0.27809915925910733,0.09720018515947437,0.3866710247519063,0.21006756306653762,0.17007135915255056,0.2934584086029727,0.22160936611196796
GCSF,0.2600551964885322,0.36014257277109124,0.235709757187883,0.4807429454566963,0.2382222273861394,0.0,0.31817306940892176,0.23705785943603264,0.24429429303740746,0.3483441337100788,0.3503408258840177,0.45412577588366093,0.264714367608064,0.4065062658306072,0.4518623129649012,0.44699218868219426,0.46502279277464015,0.2721002432788041,0.4311230382800737,0.2945548679715765,0.4772802463459758,0.349896428521008,0.33437686469465366,0.3882253493276012,0.5238647651924373,0.43987694302090075,0.20796405353372543,0.26797603539267134,0.251638386525352,0.3986073122638137,0.298033107437197,0.22749621412545606,0.34589631873345816,0.2585447700598671,0.1913621573166307,0.4505605365435465,0.2875634695412947
GM-CSF,0.22115743251327546,0.3209000771228584,0.23957393231691843,0.3569472780308828,0.2120441514286715,0.31817306940892176,0.0,0.2477805715059727,0.17942148000847224,0.23978916782976323,0.25492702863332084,0.4354053524671433,0.3011575782901402,0.22074824604258225,0.38344838610113363,0.35333533218548147,0.3803334327441447,0.31646260509693536,0.4552335673986152,0.3470579770050147,0.37609201151425986,0.37006302363447374,0.22542389570700672,0.27753622416436574,0.3950250164142267,0.32370740216672067,0.302988490864573,0.3674200501315076,0.19101288413822698,0.363538354377924,0.26689409541962794,0.26297935272746564,0.38475623984769847,0.27988868753233387,0.31228463153928476,0.35194462195576554,0.2809092774691557
GRO,0.10867339554178207,0.26464930353248123,0.2828203102739293,0.4552376396542918,0.24568296207340573,0.23705785943603264,0.2477805715059727,0.0,0.2647066413723573,0.352505491008259,0.4054486626603497,0.5506039893670263,0.3318139257348084,0.4179372353541865,0.5286913894786203,0.4226754526406065,0.4911789835225964,0.32171689666657316,0.49724162189870474,0.1994279474149112,0.5471999184370857,0.4605704508931372,0.39566028281272736,0.4243969857466604,0.5337558551344406,0.5235838769193683,0.16755312582898196,0.26769266871094266,0.26300139058088456,0.26749410122581185,0.26011106830435554,0.2005387723761502,0.1309823193124688,0.19664297082985976,0.23084142448352318,0.510244500094951,0.2941998621027587
IFNα2,0.2351374573336555,0.3630570505327267,0.18039454289714363,0.3654688521833952,0.15151066580201056,0.24429429303740746,0.17942148000847224,0.2647066413723573,0.0,0.2480897687825006,0.20716011032280113,0.33778449762632656,0.1704066699492789,0.21180136050664933,0.3504902148179652,0.3180690070291843,0.3074978432325933,0.2607703672001319,0.3262417306927595,0.3143292223919244,0.31782634505638535,0.27951545041760323,0.19777929480979306,0.25896589490488486,0.34074041581507464,0.2743465695745547,0.2970876814562111,0.38053212121969204,0.15138378714182743,0.3988792627601704,0.29511189823875983,0.21393833304973942,0.3831825455299781,0.25106520939359056,0.229395207551224,0.2547498621317869,0.2328319359617927
IFNγ,0.2546230796073648,0.33281738810569506,0.23302791922766442,0.25491314436881235,0.2641318317732411,0.3483441337100788,0.23978916782976323,0.352505491008259,0.2480897687825006,0.0,0.29770165985047853,0.38580345331132665,0.3255032479437068,0.21194038927440334,0.39082039343157493,0.31933641345354363,0.3256920576142114,0.25356270415150906,0.36667253107155073,0.320020580794421,0.35329499420395566,0.3427989028988267,0.28826032040195515,0.19861652966415771,0.3201330637111425,0.2949830702763202,0.33633726880943476,0.3859965607013716,0.2610202092588545,0.3553045365398343,0.23894154780391186,0.3053295105501942,0.433157012914272,0.22129379113491976,0.2999231249425822,0.3409834145130214,0.1158550746100489
