,cy_1,cy_2,cy_3,cy_4,cy_5,cy_6,cy_7,cy_8,cy_9,cy_10,cy_11,cy_12,cy_13,cy_14
cy_1,0.0,0.25439618928980834,0.273181289747092,0.3969115515699341,0.22188308081718477,0.3242473702201467,0.16976114029447864,0.12302321433707647,0.24200051334257294,0.2677527942608102,0.22028309664348705,0.5247590874395505,0.28648782366406483,0.3628506689741168
cy_2,0.25439618928980834,0.0,0.3842591973933363,0.38726497571185187,0.38028624771575353,0.3658389626980565,0.3329079939337302,0.25534708520574856,0.36284221387658405,0.3527775051652213,0.4220885771876048,0.5901850204851858,0.46136698477599525,0.5027381854779766
cy_3,0.273181289747092,0.3842591973933363,0.0,0.3423616757689556,0.11204006336924005,0.22672333991765098,0.24443637821792402,0.2693251296257797,0.15273599790684805,0.16586586521231178,0.23929399922274913,0.3041165722077571,0.1490492527214466,0.19116888339682658
cy_4,0.3969115515699341,0.38726497571185187,0.3423616757689556,0.0,0.4046272524903549,0.4936278063955401,0.34600713689977,0.46831148702999315,0.3447231245339339,0.2257874326803726,0.27550011295307997,0.37360644084679706,0.3875867403790507,0.2405608887452253
cy_5,0.22188308081718477,0.38028624771575353,0.11204006336924005,0.4046272524903549,0.0,0.24300811418807045,0.17944549024439754,0.23118561402342624,0.11053879275049094,0.25501812168327487,0.18835879572915892,0.3095447499554847,0.1345973601750236,0.1665823504361056
cy_6,0.3242473702201467,0.3658389626980565,0.22672333991765098,0.4936278063955401,0.24300811418807045,0.0,0.30753487046471584,0.25313457076777734,0.256606285615683,0.3486018206806215,0.3033494605365979,0.46391364612144603,0.26825153947559666,0.3776838467422424
cy_7,0.16976114029447864,0.3329079939337302,0.24443637821792402,0.34600713689977,0.17944549024439754,0.30753487046471584,0.0,0.22873852805365785,0.1349365174027301,0.22039194082639862,0.18674071263387348,0.43022323132987916,0.27698567548272135,0.21143656212556766
cy_8,0.12302321433707647,0.25534708520574856,0.2693251296257797,0.46831148702999315,0.23118561402342624,0.25313457076777734,0.22873852805365785,0.0,0.23869184934029386,0.34194706105100514,0.2785125656232067,0.5614211269658979,0.327998872634827,0.4111394870851193
cy_9,0.24200051334257294,0.36284221387658405,0.15273599790684805,0.3447231245339339,0.11053879275049094,0.256606285615683,0.1349365174027301,0.23869184934029386,0.0,0.21065278621958794,0.1744781924686154,0.29613052731161416,0.1661532010620428,0.1879497019434107
cy_10,0.2677527942608102,0.3527775051652213,0.16586586521231178,0.2257874326803726,0.25501812168327487,0.3486018206806215,0.22039194082639862,0.34194706105100514,0.21065278621958794,0.0,0.22750221955770594,0.36369088123344356,0.2844794470466542,0.1810288334684365
cy_11,0.22028309664348705,0.4220885771876048,0.23929399922274913,0.27550011295307997,0.18835879572915892,0.3033494605365979,0.18674071263387348,0.2785125656232067,0.1744781924686154,0.22750221955770594,0.0,0.4131492683818363,0.157074711751925,0.15485626022607274
cy_12,0.5247590874395505,0.5901850204851858,0.3041165722077571,0.37360644084679706,0.3095447499554847,0.46391364612144603,0.43022323132987916,0.5614211269658979,0.29613052731161416,0.36369088123344356,0.4131492683818363,0.0,0.2470191839127336,0.2787702883239254
cy_13,0.28648782366406483,0.46136698477599525,0.1490492527214466,0.3875867403790507,0.1345973601750236,0.26825153947559666,0.27698567548272135,0.327998872634827,0.1661532010620428,0.2844794470466542,0.157074711751925,0.2470191839127336,0.0,0.17204481087423523
cy_14,0.3628506689741168,0.5027381854779766,0.19116888339682658,0.2405608887452253,0.1665823504361056,0.3776838467422424,0.21143656212556766,0.4111394870851193,0.1879497019434107,0.1810288334684365,0.15485626022607274,0.2787702883239254,0.17204481087423523,0.0
