,EGF,Eotaxin,FGF-2,FLT3L,FKN,GCSF,GM-CSF,GRO,IFNα2,IFNγ,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,TGFα,TNFα,TNFβ,VEGF
EGF,0.0,0.128,0.999,0.267,1.0,0.953,0.987,0.137,1.0,0.677,0.812,0.997,0.998,1.0,0.861,0.952,0.972,0.7,0.978,0.5780000000000001,0.762,0.997,1.0,0.983,0.831,1.0,0.751,0.362,0.999,0.7070000000000001,0.364,0.954,0.708,0.20799999999999996,0.20199999999999996,1.0,0.91
Eotaxin,0.128,0.0,0.993,0.17500000000000004,0.994,0.964,0.982,0.237,0.994,0.6679999999999999,0.876,0.99,0.998,0.994,0.839,0.946,0.967,0.696,0.972,0.651,0.671,0.991,0.994,0.987,0.8240000000000001,0.994,0.8240000000000001,0.363,0.993,0.79,0.38,0.96,0.791,0.127,0.123,0.994,0.902
FGF-2,0.999,0.993,0.0,0.862,0.07699999999999996,0.793,0.11199999999999999,0.999,0.07699999999999996,0.387,0.6699999999999999,0.07899999999999996,0.133,0.07299999999999995,0.251,0.06000000000000005,0.03700000000000003,0.851,0.10399999999999998,0.999,0.393,0.15200000000000002,0.07899999999999996,0.42900000000000005,0.32999999999999996,0.07399999999999995,1.0,0.999,0.062000000000000055,1.0,0.996,0.22999999999999998,1.0,0.931,0.929,0.008000000000000007,0.16800000000000004
FLT3L,0.267,0.17500000000000004,0.862,0.0,0.874,0.944,0.877,0.32199999999999995,0.875,0.5409999999999999,0.91,0.867,0.901,0.875,0.727,0.8140000000000001,0.837,0.6739999999999999,0.856,0.752,0.595,0.884,0.874,0.931,0.733,0.873,0.9299999999999999,0.44199999999999995,0.875,0.929,0.477,0.869,0.9299999999999999,0.07599999999999996,0.08599999999999997,0.864,0.775
FKN,1.0,0.994,0.07699999999999996,0.874,0.0,0.861,0.04200000000000004,1.0,0.02100000000000002,0.43500000000000005,0.638,0.014000000000000012,0.20299999999999996,0.006000000000000005,0.18300000000000005,0.131,0.10599999999999998,0.857,0.06299999999999994,1.0,0.33099999999999996,0.07599999999999996,0.010000000000000009,0.393,0.385,0.0030000000000000027,1.0,1.0,0.134,1.0,0.996,0.18300000000000005,1.0,0.9410000000000001,0.935,0.07699999999999996,0.23299999999999998
GCSF,0.953,0.964,0.793,0.944,0.861,0.0,0.866,0.94,0.86,0.837,0.8069999999999999,0.861,0.8,0.86,0.884,0.79,0.791,0.6890000000000001,0.847,0.759,0.906,0.789,0.865,0.9319999999999999,0.849,0.861,0.6890000000000001,0.673,0.737,0.85,0.887,0.802,0.85,0.954,0.951,0.789,0.785
GM-CSF,0.987,0.982,0.11199999999999999,0.877,0.04200000000000004,0.866,0.0,0.988,0.03700000000000003,0.44399999999999995,0.643,0.051000000000000045,0.22399999999999998,0.04400000000000004,0.20999999999999996,0.16600000000000004,0.14300000000000002,0.854,0.10199999999999998,0.99,0.351,0.11199999999999999,0.03600000000000003,0.41000000000000003,0.393,0.04300000000000004,0.99,0.993,0.16600000000000004,0.984,0.978,0.20599999999999996,0.984,0.938,0.9319999999999999,0.11699999999999999,0.247
GRO,0.137,0.237,0.999,0.32199999999999995,1.0,0.94,0.988,0.0,1.0,0.7030000000000001,0.786,0.997,0.998,1.0,0.871,0.953,0.973,0.738,0.981,0.5760000000000001,0.765,0.997,1.0,0.981,0.86,1.0,0.702,0.43300000000000005,1.0,0.652,0.353,0.949,0.653,0.262,0.265,1.0,0.914
IFNα2,1.0,0.994,0.07699999999999996,0.875,0.02100000000000002,0.86,0.03700000000000003,1.0,0.0,0.43100000000000005,0.647,0.030000000000000027,0.19499999999999995,0.019000000000000017,0.19599999999999995,0.132,0.10799999999999998,0.858,0.07599999999999996,1.0,0.34299999999999997,0.09599999999999997,0.01100000000000001,0.398,0.372,0.020000000000000018,1.0,1.0,0.136,1.0,0.996,0.19299999999999995,1.0,0.9410000000000001,0.9359999999999999,0.07999999999999996,0.22999999999999998
IFNγ,0.677,0.6679999999999999,0.387,0.5409999999999999,0.43500000000000005,0.837,0.44399999999999995,0.7030000000000001,0.43100000000000005,0.0,0.783,0.43700000000000006,0.46699999999999997,0.43200000000000005,0.493,0.373,0.374,0.698,0.397,0.885,0.577,0.477,0.43400000000000005,0.628,0.347,0.43300000000000005,0.962,0.752,0.41600000000000004,0.954,0.785,0.513,0.955,0.606,0.601,0.386,0.238
