,EGF,Eotaxin,FGF-2,FLT3L,FKN,GCSF,GM-CSF,GRO,IFNα2,IFNγ,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,TGFα,TNFα,TNFβ,VEGF
EGF,0.0,0.32656207565620854,0.555762880165241,0.5910316792844393,0.43147989319446667,0.40676477897910424,0.3871867878427384,0.16553729216418223,0.4748216541846159,0.459672372905754,0.6518507273842883,0.7793350257316156,0.574308135888172,0.7396289907671538,0.6285122223054322,0.5624994002081519,0.7743992818997527,0.6297754410835443,0.7113656677644846,0.37296091005955806,0.7117980708845433,0.725551212862332,0.684162212453355,0.6109147086913044,0.632654159685572,0.8073754986578852,0.2652788188102557,0.34743694277694637,0.46017070488911105,0.35666680810662454,0.34643703402522885,0.3395106335060414,0.191666009440339,0.3879064406689863,0.4781236965534354,0.7606186045004477,0.34523047472223467
Eotaxin,0.32656207565620854,0.0,0.5659171785145198,0.5133128560768553,0.5491338962074729,0.4686363168037084,0.43918574346716116,0.3416893697059985,0.5436602612904021,0.46353624152469586,0.6543522632486926,0.6831579658925873,0.667912510853604,0.6722371951300338,0.6523874369502409,0.5741080818468166,0.6666284491908673,0.5281897960657234,0.7124304457203406,0.3133251495284669,0.686655198980895,0.6742936900723238,0.6658351901453485,0.6398162781488147,0.6187901134521642,0.7327757372001665,0.3130496281704111,0.20102842983093938,0.5810736391491588,0.340999212646169,0.3381968051038549,0.44314125198059695,0.2919354727120421,0.40997965327784897,0.38473170506708676,0.7268161431749284,0.4139219960852768
FGF-2,0.555762880165241,0.5659171785145198,0.0,0.5867396735061325,0.3907699225733704,0.4070888164976296,0.48893453199531156,0.49441598350811305,0.45293222072484257,0.4967773381851099,0.5899421620660946,0.4743359915005104,0.39474957055109283,0.560660946349489,0.5604931838943582,0.6796174533436965,0.5429225360757207,0.46551969034278695,0.4676332561284957,0.47672159573254125,0.5824936088827251,0.47372557535988546,0.52191639826628,0.4841066765363265,0.5726100053563642,0.5128632632057188,0.5125502091534629,0.5998061034682008,0.4882252324216221,0.5437752900760722,0.5162241850377562,0.3929518099142281,0.5162984745669611,0.4646357524676847,0.4294590185702757,0.5542941192106378,0.43904132544691954
FLT3L,0.5910316792844393,0.5133128560768553,0.5867396735061325,0.0,0.678794829524708,0.6829996839711481,0.5502893174941369,0.6449441844443083,0.6343794558314464,0.3982257296028953,0.4412925472294553,0.43362670264736536,0.6350711963538811,0.3414307786958901,0.3998197640463286,0.3699007477797456,0.40345285811706655,0.46206789370188034,0.4278349847876606,0.5823064340207305,0.37375479630525266,0.5248257181877252,0.4980169970662796,0.34298513988148027,0.3926448247953022,0.3879810994894019,0.6184945235151389,0.5569407436295013,0.6559818936692415,0.5251383893091212,0.5582292056336132,0.6904009847259053,0.6116241214168411,0.5559304213062103,0.6195180243737941,0.42183295928358067,0.5343144324153505
FKN,0.43147989319446667,0.5491338962074729,0.3907699225733704,0.678794829524708,0.0,0.4111021694928637,0.42968867324208787,0.42282840706762587,0.37878337960686354,0.5625635029159705,0.517922045068312,0.5739439142915769,0.3877214613512722,0.5052242349487841,0.6160223692212824,0.6495051592345995,0.5801991737950982,0.5332105712804621,0.5964061517810746,0.49461172053947394,0.622593689557187,0.5568575982169698,0.4568542407156475,0.5070193835796878,0.6346530401450168,0.609484902244716,0.4728342663023576,0.6036038853661603,0.3573905465640159,0.5084375756507343,0.5043215266544205,0.2094402660799785,0.458927709217474,0.5185872994639631,0.41307878749264826,0.5771635222886351,0.4584018186673164
GCSF,0.40676477897910424,0.4686363168037084,0.4070888164976296,0.6829996839711481,0.4111021694928637,0.0,0.5004794495480787,0.3414980928021052,0.4222191788975247,0.5622643801254612,0.5693880243729762,0.6420775684362292,0.45220341071170234,0.7163112859057627,0.6141759537191227,0.6442692029605825,0.7174308610919277,0.45568335794691944,0.6253554249843862,0.44538883341888214,0.6783153737750756,0.5273611263897611,0.5810662023794102,0.6305274293968949,0.6711652459957562,0.6980299797368237,0.2821956663068074,0.32999370691342966,0.45250018598134345,0.44717550924073507,0.4387957412447616,0.36875418776429103,0.3875915295355805,0.446487391764124,0.3189448707801568,0.6943179077084096,0.45611942393292854
GM-CSF,0.3871867878427384,0.43918574346716116,0.48893453199531156,0.5502893174941369,0.42968867324208787,0.5004794495480787,0.0,0.3867315332380692,0.36074723884194315,0.43464293619264227,0.4659951641055904,0.6693027313926858,0.5981429674627298,0.4387986084668331,0.5592197075236975,0.554813431662268,0.6498763429409862,0.6093940967228868,0.7225004436082315,0.5796634157301261,0.5805553014947076,0.6151595660862424,0.446544404921148,0.5056947597744227,0.5318198238248832,0.5724473363114732,0.44014489525208245,0.4799271246296977,0.40364109906285844,0.4086985097906656,0.42965129879650354,0.487687589405046,0.4446420362042272,0.5657661234951007,0.6250493717098335,0.6006076655088385,0.5001945097367129
GRO,0.16553729216418223,0.3416893697059985,0.49441598350811305,0.6449441844443083,0.42282840706762587,0.3414980928021052,0.3867315332380692,0.0,0.4584075747075174,0.5668646258826964,0.6583549863877404,0.77639778482432,0.5722440074087973,0.7341783234629184,0.7172909575234331,0.6074540826610706,0.7554494977516804,0.5405805955322986,0.7196455810569247,0.29985603704767594,0.775528300122886,0.692410977645484,0.6905294294679544,0.687755109576021,0.6826059718981403,0.8293548976473347,0.2264416806201895,0.32927650007630793,0.4729312277842375,0.28611189344910526,0.3817136995081057,0.32161656479826395,0.12291527780501404,0.3282991392282889,0.3895892810990484,0.7841328315608016,0.46496846025922434
IFNα2,0.4748216541846159,0.5436602612904021,0.45293222072484257,0.6343794558314464,0.37878337960686354,0.4222191788975247,0.36074723884194315,0.4584075747075174,0.0,0.5268800533330662,0.4437425156545458,0.5778472374496735,0.4091001609379245,0.5136393508388405,0.56148453863848,0.5599335744902331,0.6057957110129467,0.6008350389366709,0.5816473442924754,0.6012341940430167,0.5457515458423475,0.528129608223617,0.4768289005654581,0.5542171478400049,0.483899826208122,0.5642638661212914,0.46878264713885437,0.5342065404073348,0.4071140012320662,0.4683196207161944,0.5365989278953891,0.4680541636465951,0.45314887864353115,0.6184530012324091,0.5561099200366597,0.4974841914885518,0.48148787509668756
IFNγ,0.459672372905754,0.46353624152469586,0.4967773381851099,0.3982257296028953,0.5625635029159705,0.5622643801254612,0.43464293619264227,0.5668646258826964,0.5268800533330662,0.0,0.5631195920215251,0.6062000451625589,0.6729497660544422,0.43945666160712094,0.5824324767316892,0.5128147747520411,0.5730966720830398,0.5062737477208717,0.5954776233679583,0.5495372759983077,0.5577546964195202,0.5858466618368492,0.5972363651559416,0.3743259797531729,0.42928011497046337,0.5384004178863596,0.5001396756156018,0.5135709725238454,0.590038607476031,0.39808789520305515,0.3933134032467103,0.5865976734218113,0.5151125266095233,0.46453527408708845,0.6243336978003934,0.5993293815527857,0.21290428805348344
