,EGF,Eotaxin,FGF-2,FLT3L,FKN,GCSF,GM-CSF,GRO,IFNα2,IFNγ,IL1α,IL1β,IL1Ra/Ra2,IL2,IL3,IL4,IL5,IL6,IL7,IL8,IL9,IL10,IL12-P40,IL12-P70,IL13,IL15,IP10,MCP1,MCP3,MDC,MIP1α,MIP1β,sCD40-L,TGFα,TNFα,TNFβ,VEGF
EGF,0.0,0.02300000000000002,0.987,0.03300000000000003,0.985,0.358,0.933,0.0010000000000000009,0.99,0.29000000000000004,0.346,0.968,0.957,0.99,0.868,0.958,0.984,0.07799999999999996,0.971,0.008000000000000007,0.712,0.787,0.99,0.401,0.736,0.988,0.02400000000000002,0.008000000000000007,0.889,0.008000000000000007,0.02200000000000002,0.762,0.008000000000000007,0.020000000000000018,0.02100000000000002,0.99,0.501
Eotaxin,0.02300000000000002,0.0,0.964,0.014000000000000012,0.962,0.355,0.91,0.02400000000000002,0.967,0.271,0.365,0.945,0.938,0.967,0.847,0.935,0.961,0.07899999999999996,0.948,0.031000000000000028,0.6890000000000001,0.778,0.967,0.392,0.7170000000000001,0.965,0.04700000000000004,0.027000000000000024,0.874,0.031000000000000028,0.041000000000000036,0.757,0.031000000000000028,0.0050000000000000044,0.006000000000000005,0.967,0.482
FGF-2,0.987,0.964,0.0,0.956,0.014000000000000012,0.643,0.06399999999999995,0.988,0.009000000000000008,0.6990000000000001,0.655,0.025000000000000022,0.04600000000000004,0.009000000000000008,0.133,0.039000000000000035,0.013000000000000012,0.919,0.026000000000000023,0.983,0.28700000000000003,0.22199999999999998,0.009000000000000008,0.5900000000000001,0.257,0.01100000000000001,0.971,0.991,0.118,0.983,0.969,0.23299999999999998,0.983,0.969,0.968,0.0050000000000000044,0.488
FLT3L,0.03300000000000003,0.014000000000000012,0.956,0.0,0.954,0.365,0.902,0.03200000000000003,0.959,0.267,0.367,0.937,0.9319999999999999,0.959,0.835,0.925,0.951,0.08899999999999997,0.94,0.041000000000000036,0.681,0.774,0.959,0.398,0.7130000000000001,0.957,0.05700000000000005,0.03700000000000003,0.872,0.041000000000000036,0.05500000000000005,0.753,0.041000000000000036,0.013000000000000012,0.014000000000000012,0.959,0.48
FKN,0.985,0.962,0.014000000000000012,0.954,0.0,0.639,0.05600000000000005,0.986,0.0050000000000000044,0.7110000000000001,0.643,0.017000000000000015,0.05400000000000005,0.0050000000000000044,0.119,0.04500000000000004,0.019000000000000017,0.917,0.028000000000000025,0.981,0.275,0.20999999999999996,0.0050000000000000044,0.5880000000000001,0.267,0.0030000000000000027,0.969,0.989,0.124,0.981,0.967,0.22499999999999998,0.981,0.967,0.966,0.01100000000000001,0.502
GCSF,0.358,0.355,0.643,0.365,0.639,0.0,0.609,0.359,0.644,0.44799999999999995,0.42600000000000005,0.634,0.611,0.644,0.602,0.624,0.64,0.30400000000000005,0.639,0.352,0.554,0.43899999999999995,0.644,0.377,0.5840000000000001,0.642,0.33399999999999996,0.35,0.5349999999999999,0.352,0.354,0.532,0.352,0.356,0.357,0.646,0.46499999999999997
GM-CSF,0.933,0.91,0.06399999999999995,0.902,0.05600000000000005,0.609,0.0,0.9339999999999999,0.05900000000000005,0.663,0.639,0.07099999999999995,0.09399999999999997,0.05900000000000005,0.15900000000000003,0.09299999999999997,0.07099999999999995,0.863,0.07999999999999996,0.927,0.30500000000000005,0.23199999999999998,0.05900000000000005,0.558,0.28900000000000003,0.05900000000000005,0.915,0.935,0.14800000000000002,0.927,0.913,0.249,0.927,0.915,0.914,0.06299999999999994,0.486
GRO,0.0010000000000000009,0.02400000000000002,0.988,0.03200000000000003,0.986,0.359,0.9339999999999999,0.0,0.991,0.28900000000000003,0.347,0.969,0.958,0.991,0.867,0.957,0.983,0.07899999999999996,0.97,0.009000000000000008,0.7110000000000001,0.788,0.991,0.4,0.737,0.989,0.025000000000000022,0.009000000000000008,0.89,0.009000000000000008,0.02300000000000002,0.763,0.009000000000000008,0.019000000000000017,0.020000000000000018,0.991,0.5
IFNα2,0.99,0.967,0.009000000000000008,0.959,0.0050000000000000044,0.644,0.05900000000000005,0.991,0.0,0.706,0.648,0.02200000000000002,0.049000000000000044,0.0,0.124,0.040000000000000036,0.014000000000000012,0.922,0.02300000000000002,0.986,0.28,0.21499999999999997,0.0,0.593,0.262,0.0020000000000000018,0.974,0.994,0.119,0.986,0.972,0.22999999999999998,0.986,0.972,0.971,0.006000000000000005,0.497
IFNγ,0.29000000000000004,0.271,0.6990000000000001,0.267,0.7110000000000001,0.44799999999999995,0.663,0.28900000000000003,0.706,0.0,0.496,0.712,0.6950000000000001,0.706,0.6859999999999999,0.6679999999999999,0.694,0.278,0.683,0.29600000000000004,0.656,0.669,0.706,0.399,0.48,0.708,0.30400000000000005,0.29400000000000004,0.651,0.29200000000000004,0.29600000000000004,0.652,0.29200000000000004,0.274,0.275,0.702,0.21299999999999997
