,sCD40L ,EGF ,Eotaxin ,FGF2 ,FLT3L ,Fractalkine ,GCSF ,GMCSF ,CXCL1orGROa ,IFNa2 ,IFNy ,IL1a ,IL1b ,IL1RA ,IL2 ,IL3 ,IL4 ,IL5 ,IL6 ,IL7 ,IL8orCXCL8,IL9 ,IL10 ,IL12p40 ,IL12p70 ,IL13 ,IL15 ,IL17A ,IL17E/IL25 ,IL17F ,IL18 ,IL22 ,IL27 ,CXCL10orIP10 ,CCL2orMCP1 ,CCL7orMCP3 ,MCSF ,CXCL9orMIG,CCL3orMIP1a ,CCL4orMIP1b ,PDGFAA ,PDGFABAndPDGFBB ,CCL5orRANTES ,TGFa ,TNFa ,TNFb ,VEGFA ,Eotaxin2 ,CCL8OrMCP2 ,CXCL13OrBCA1 ,CCL13orMCP4 ,CCL1orI309 ,IL16 ,CCL17orTARC ,CCL21Or6CKine,Eotaxin3 ,LIF ,TPO ,SCF ,TSLP ,IL33 ,IL20 ,IL21 ,IL23 ,TRAIL ,CCL27orCTACK ,SDF1aAndSDF1B ,CXCL5orENA78 ,CCL15orMIP1d ,IFNL2orIL28A 
sCD40L ,0.0,0.17786518496429826,0.4340295785244891,0.5776420616244997,0.5758029120766863,0.6234972776371176,0.6552818766925722,0.49375262096762,0.36389703750721786,0.6547973591491838,0.5560189911435193,0.44592317631385686,0.4862574816235894,0.5687865515519539,0.7126371067215773,0.5193160154895321,0.5855483059604393,0.4919080062491955,0.49253693138284443,0.2408732887482785,0.2880819847121375,0.4571457517078381,0.6028695606624379,0.6786443498877833,0.4401157984498287,0.49022154373172466,0.5975349500745989,0.5291534640576211,0.43666800793777727,0.6047928753349341,0.45074708689048737,0.4977918039565129,0.46996506751613665,0.5082647414408532,0.592096444111849,0.4517315494783536,0.6262988867507053,0.5187875241218779,0.4825144865911413,0.36309355376640323,0.19646862195880338,0.14428064852922629,0.626950439122268,0.4343361602973551,0.5665784027972426,0.428278131901595,0.36759781851980844,0.41458572301269353,0.586783428248464,0.5531301611836729,0.4755963439430265,0.611389624041463,0.5970136781072604,0.34489208014024136,0.6595399209558553,0.553028857649256,0.5330312743802698,0.6850661585990081,0.6115542528344262,0.5935050802581925,0.7061977375384705,0.6366257233107452,0.5651248328543415,0.5962589497830151,0.6353067792359478,0.5236024642002358,0.6314341346165713,0.37692090135638034,0.4673321319444514,0.5996732062027581
EGF ,0.17786518496429826,0.0,0.42228167518644644,0.4933871864767836,0.5168492170425848,0.6158677092154639,0.6113556377852137,0.4613860303598868,0.30199172303628496,0.5973244249779474,0.4983375320900321,0.4452976079980844,0.4511663718433154,0.5195822718434429,0.6553010308194415,0.457473933648631,0.5546223362571436,0.5420908392601815,0.4438158065624988,0.2757889428719489,0.3195150631838024,0.48011668974757843,0.5606396210756753,0.6129831908135756,0.40589782731038904,0.4941455674109165,0.5198775380886133,0.4765572566729467,0.4212244019140641,0.4892064868912126,0.5433638450505326,0.42357674598254336,0.4953094635577817,0.5580256572080876,0.5278168617109164,0.4199144415264798,0.6012196702799156,0.5737657272425652,0.47797454068057155,0.36204626711450905,0.23959308101852755,0.1844097887929641,0.6213909491145556,0.36833961363801826,0.5788720075313712,0.40410779981573486,0.37158398481152505,0.44117078433169943,0.5163259925322273,0.5407499567520934,0.44615443491918066,0.5456581400154062,0.5277358838995554,0.44443203232792533,0.5925938937847215,0.43917041312956523,0.4809649711557815,0.5341792413459278,0.5402337687873897,0.49383987757635,0.6150727683988427,0.5193265025946627,0.4543380002582691,0.48406996811766556,0.5496083780758703,0.5791167819352931,0.5810430202324975,0.37889355636367694,0.47462293130083744,0.5173397321378093
Eotaxin ,0.4340295785244891,0.42228167518644644,0.0,0.4044655997343511,0.434898800651502,0.5178743809344891,0.5570499344411664,0.3929356795884478,0.405113779198106,0.4378130157582809,0.40830482152884084,0.4103294295665111,0.435385066759918,0.4521058879543537,0.3979756510185125,0.457002415833975,0.310604417059684,0.3806287429378654,0.531669738928449,0.4637340656281914,0.39474990861475173,0.4140918636751269,0.5140213244002416,0.43082084948169447,0.41022779015890287,0.44574386299870083,0.46769388181531973,0.4882717061315991,0.4078673858093771,0.5210558096233092,0.4696610016314362,0.3679205348040714,0.4361917925829388,0.5355279755219985,0.3237484362633635,0.2829870356938176,0.5447581302507305,0.56269575765534,0.3640427655013454,0.45253151939495506,0.38368090048744946,0.3648780819363257,0.5967904331063645,0.5488542590376049,0.46683701476621364,0.4204213428288102,0.4358568083075491,0.3847827571994912,0.4520956162590797,0.5397703878211711,0.16329724316106792,0.4615877543741003,0.3982082251727485,0.4672218637308922,0.5067122545460201,0.12053357189851355,0.3386104131382197,0.5183785288002383,0.48599360608466385,0.5033632747317788,0.5058901877306357,0.4733230111321662,0.4555638770953499,0.5132281403888459,0.4659221152132493,0.4378590236353701,0.42515933382727955,0.6266055396940111,0.4910175247027965,0.379754722671914
FGF2 ,0.5776420616244997,0.4933871864767836,0.4044655997343511,0.0,0.3804122157265839,0.31256521463409304,0.4836050504752498,0.39342403621129873,0.49249422083064487,0.313262050322929,0.33301531419991515,0.26686276594137925,0.23229279722589713,0.44989074102214627,0.16652983468610405,0.3939972586478021,0.2926342341210788,0.4082333314724135,0.49506437412152215,0.42834742842379014,0.5365587252331534,0.3113631066243416,0.45188632042354554,0.3909513488921063,0.2848972017659219,0.2807746391567633,0.29822674048607756,0.22302003256783942,0.3272429407200119,0.34979864510891856,0.4412167199826781,0.32677851188545104,0.4489145240799739,0.5425922303341814,0.4680701266109494,0.33926255651339976,0.43855877007585187,0.48909913335921845,0.2999325607053815,0.5538714243212957,0.5473024311533976,0.5635484782682714,0.5332267922521244,0.41484838713547156,0.41893005901480024,0.34708526022363406,0.4844576466488776,0.4916400852211285,0.4330235738663894,0.4668671484554377,0.3920180674064225,0.4335072833446279,0.2944799039332424,0.4997629163725881,0.4342053821680044,0.31127743702333055,0.23300806044717015,0.353409855230708,0.3471136848317613,0.3188670179450073,0.4185598661408433,0.3149433724911802,0.32496814642517097,0.3482856107601612,0.4818369998076998,0.46548630767686267,0.44033565914591977,0.5659532036970127,0.5015671622909529,0.2573931126445032
FLT3L ,0.5758029120766863,0.5168492170425848,0.434898800651502,0.3804122157265839,0.0,0.31824845038588484,0.30322737518052284,0.3740702060345874,0.33946662129684035,0.3465195077561164,0.28803931527515403,0.4924005007464367,0.37546766675204746,0.39015936773872484,0.28276973450301335,0.3487620473571805,0.34166313365909906,0.28171315154242094,0.4021145727814466,0.4996015937956735,0.43650345442301886,0.4218786197421815,0.36655206150334263,0.3085231811231875,0.3504739160225351,0.3665132239790671,0.3204327063487722,0.3641081430051499,0.34646749658072273,0.46702463082973256,0.4493168768458462,0.41154220771966954,0.49928679082383165,0.31824707008291736,0.3439467543965358,0.3788778625070343,0.2913982430232679,0.35529388043162313,0.3658114720844935,0.4562540137933075,0.5127991693576531,0.5778242095412044,0.5809388623598322,0.5187532540108976,0.3213676946305444,0.4182476153161902,0.48888077639728883,0.5314767219956859,0.35806253735382465,0.5153160516067258,0.4363762006169636,0.2075982283628217,0.4528056121525561,0.4900228076300704,0.48219822772851995,0.46510019378252937,0.4534282668865376,0.45001648373361625,0.39900213455079336,0.437930674085484,0.42431817795626997,0.5093774393316463,0.4191847702777577,0.4544962455672371,0.34776369208382074,0.3383224646425633,0.41082859011322487,0.48986671468213,0.4859203055199182,0.44155320623533567
Fractalkine ,0.6234972776371176,0.6158677092154639,0.5178743809344891,0.31256521463409304,0.31824845038588484,0.0,0.41428180070135723,0.30911873112182153,0.5284488634703915,0.3276760635595827,0.2720973125150089,0.4488096241542945,0.3869429026030528,0.35979782227474916,0.2894292906009118,0.35791315420732295,0.3356471722857531,0.423451696686457,0.38087002881368237,0.49171132288636255,0.5520490089101251,0.30152745644462264,0.39710188371106303,0.3389184904105557,0.3799636039378023,0.31973639863277936,0.2981367052048392,0.3505865999594393,0.35547664137633095,0.32755220198579527,0.43631208728544124,0.42595472293370956,0.4342036742162446,0.43011773956652505,0.3410230231312892,0.38120499586761514,0.34486428219334864,0.354108943628091,0.37134444783738196,0.48733482203436496,0.6190922743139524,0.6872667434125426,0.5576773870620813,0.4087719948584957,0.26436427136806456,0.3025771369280559,0.5700955790833362,0.5746965570916469,0.39303178464091726,0.41284083850518316,0.4759612092337096,0.3289559490931864,0.41706829846322585,0.43029414867254995,0.41860415436439463,0.44599033231961704,0.33572069594128984,0.3886163128523301,0.2528005947686448,0.3549971164931969,0.4580264432607745,0.442121606651125,0.35634155608052465,0.35591188347198693,0.31215688912961637,0.3725297747238202,0.4414952203962859,0.4831471248130536,0.39848406886653337,0.40352858223866445
GCSF ,0.6552818766925722,0.6113556377852137,0.5570499344411664,0.4836050504752498,0.30322737518052284,0.41428180070135723,0.0,0.43508494895950145,0.4454700878888987,0.40688856711468124,0.29774856804407784,0.4938116339445062,0.477887667096511,0.3962976033432584,0.3357715425801103,0.3552669069605958,0.4993765517716359,0.3914259905876821,0.2889052045182027,0.54779790902058,0.5400535931853511,0.4649732049801176,0.17493296991826762,0.2920043899298269,0.4318323154196259,0.4398681025604479,0.29443550837692956,0.41451983515381846,0.4476327916314666,0.392866064341134,0.4023423041936628,0.40309749105545734,0.47529463892078266,0.23399176747985062,0.3172814195951572,0.42568156199691126,0.30001996054072244,0.336320501007885,0.4008241739749731,0.4906628708157476,0.6029284820348386,0.6538358017175271,0.42760922895428094,0.5112808775531997,0.3107639057960247,0.4391557261382685,0.49581141912070953,0.584711225565449,0.30887157789272635,0.511498788884253,0.4641958264737417,0.23937121620918106,0.4447995425560809,0.5128719363214844,0.2567642145489266,0.6162029452002287,0.45302686157351896,0.37704633535799936,0.3976353181592144,0.4609546124194864,0.4619249801739058,0.4367455259681066,0.44337286523065866,0.4978001724876721,0.3017799437928037,0.3808328843868247,0.3338784913665944,0.5410575707451646,0.4385305892814666,0.41620722119692743
GMCSF ,0.49375262096762,0.4613860303598868,0.3929356795884478,0.39342403621129873,0.3740702060345874,0.30911873112182153,0.43508494895950145,0.0,0.4504766637562323,0.40791354085074827,0.29992779277657144,0.4272242402783944,0.38128131730861603,0.42790393888464207,0.37887339284943766,0.30744741169825063,0.2610624447544595,0.35887154434483864,0.40833778222893063,0.4768765345163919,0.4490859837120598,0.37185204315426007,0.455794371070163,0.2938290069642163,0.3801922848505654,0.31989600499327475,0.4243053704159235,0.3563018938420851,0.3322431431672117,0.5147779305719825,0.4940745211619225,0.343734951091605,0.3686144460674662,0.44424950631228655,0.34369885658287597,0.33978084240140405,0.3996649978200987,0.4143861979257076,0.2593608889050636,0.3798992060953243,0.4947023373231137,0.5200080890121219,0.6482291734708719,0.5088739920798039,0.3529664399474137,0.3230934411363434,0.4747815113605344,0.5078789208402217,0.3829617051671389,0.4938142352349455,0.3842221207703496,0.337321524813599,0.40128127029225447,0.4536311676402348,0.46625081948090835,0.41427205997609357,0.3610192437717357,0.548016994429074,0.34851286784170415,0.47344040149058686,0.5575651584235761,0.5426962022502022,0.35922257911250455,0.48059763229592933,0.36732427756735264,0.4762169138127618,0.42037650061591353,0.46323291028318997,0.5545848549442637,0.38274132362276125
CXCL1orGROa ,0.36389703750721786,0.30199172303628496,0.405113779198106,0.49249422083064487,0.33946662129684035,0.5284488634703915,0.4454700878888987,0.4504766637562323,0.0,0.5643034760953648,0.40310673825322796,0.4980431559649874,0.42358061718612117,0.40428663239025386,0.5339856249214067,0.47754655321086337,0.49236312134519783,0.45037377422449,0.31700569528619227,0.3513832927882927,0.2816234872292588,0.4815715011889866,0.4156363744193009,0.5028150493194907,0.48179268058907043,0.4360677120534445,0.46002176231945857,0.46561183302861814,0.4377424679564244,0.4921848414933666,0.49011792665737036,0.3870450821983899,0.4744008066484925,0.4115419507578409,0.4157781097152297,0.33315762116156517,0.47234049101430353,0.44678680496558726,0.40687664259520173,0.3801250450303712,0.33664415483868554,0.3903320311152509,0.5800741732362936,0.4476301964714469,0.39738507771128906,0.4296226226591324,0.47713489549937727,0.4850990172046047,0.43735079095844526,0.4825390027722444,0.470122960687993,0.3607637378396591,0.5021971085225067,0.45365828723273827,0.5107707810181367,0.5206535250487269,0.47698079816008704,0.513109267138494,0.5535318111068231,0.49482351710151473,0.5936930721478191,0.5898974908597588,0.5149180934332004,0.5288372387704906,0.4410865558337671,0.4165429733288181,0.49585594322393967,0.41835364165629885,0.508414403542389,0.5168403668036476
IFNa2 ,0.6547973591491838,0.5973244249779474,0.4378130157582809,0.313262050322929,0.3465195077561164,0.3276760635595827,0.40688856711468124,0.40791354085074827,0.5643034760953648,0.0,0.24281441081577082,0.41309568558406146,0.30670274377110796,0.3998726845457796,0.2604077264481601,0.3411215000372928,0.3481219374947947,0.47113110648816314,0.4587445420917389,0.5242219935115768,0.6510607172126248,0.3739237799712417,0.3474995419140761,0.2774149586340865,0.3576494697549918,0.3221054707333132,0.23818947897421588,0.2590768338725899,0.39016942638297636,0.34014136850123977,0.47589265527025726,0.4054862736771748,0.3964540439130419,0.4052822694836181,0.36955034858463875,0.44282617361962623,0.37255048116455214,0.47154827115237125,0.3731608976907189,0.5645005680962611,0.5907132826797876,0.6346667395572367,0.6690333447940296,0.5117787425021585,0.3720424226854899,0.37887211167175044,0.46612038064210065,0.6104754113273168,0.3572562624186717,0.42950525316925087,0.472352492331483,0.35652935763942883,0.35832422654066654,0.5160032882997405,0.438981817145918,0.3821974465834832,0.23700969830799234,0.3608957283184253,0.3213822033887046,0.39456579003529707,0.3842580771828666,0.37900318958055496,0.34598564788966873,0.3794436727039103,0.2884118214754565,0.3776160966246527,0.37532881249076366,0.5136358900940972,0.4014568122300546,0.34706755515094356
