,sCD40L ,EGF ,Eotaxin ,FGF2 ,FLT3L ,Fractalkine ,GCSF ,GMCSF ,CXCL1orGROa ,IFNa2 ,IFNy ,IL1a ,IL1b ,IL1RA ,IL2 ,IL3 ,IL4 ,IL5 ,IL6 ,IL7 ,IL8orCXCL8,IL9 ,IL10 ,IL12p40 ,IL12p70 ,IL13 ,IL15 ,IL17A ,IL17E/IL25 ,IL17F ,IL18 ,IL22 ,IL27 ,CXCL10orIP10 ,CCL2orMCP1 ,CCL7orMCP3 ,MCSF ,CXCL9orMIG,CCL3orMIP1a ,CCL4orMIP1b ,PDGFAA ,PDGFABAndPDGFBB ,CCL5orRANTES ,TGFa ,TNFa ,TNFb ,VEGFA ,Eotaxin2 ,CCL8OrMCP2 ,CXCL13OrBCA1 ,CCL13orMCP4 ,CCL1orI309 ,IL16 ,CCL17orTARC ,CCL21Or6CKine,Eotaxin3 ,LIF ,TPO ,SCF ,TSLP ,IL33 ,IL20 ,IL21 ,IL23 ,TRAIL ,CCL27orCTACK ,SDF1aAndSDF1B ,CXCL5orENA78 ,CCL15orMIP1d ,IFNL2orIL28A 
sCD40L ,0.0,0.006000000000000005,0.946,0.998,0.991,0.999,1.0,0.973,0.269,0.999,0.99,0.985,0.989,0.989,0.999,0.968,0.997,0.91,0.993,0.11599999999999999,0.19199999999999995,0.984,0.999,1.0,0.975,0.977,0.999,0.997,0.978,1.0,0.965,0.971,0.9319999999999999,0.994,0.99,0.972,0.999,0.992,0.987,0.30400000000000005,0.0040000000000000036,0.0040000000000000036,0.997,0.869,0.999,0.984,0.33999999999999997,0.532,0.995,0.977,0.946,0.993,0.996,0.45599999999999996,1.0,0.946,0.986,1.0,0.999,0.999,1.0,1.0,0.995,0.999,0.998,0.981,1.0,0.16700000000000004,0.883,0.996
EGF ,0.006000000000000005,0.0,0.946,0.997,0.991,0.999,0.999,0.973,0.264,0.999,0.99,0.983,0.988,0.988,0.999,0.968,0.995,0.91,0.992,0.11199999999999999,0.18999999999999995,0.982,0.998,1.0,0.974,0.976,0.999,0.995,0.977,0.999,0.964,0.97,0.9299999999999999,0.993,0.989,0.971,0.998,0.991,0.985,0.30300000000000005,0.010000000000000009,0.008000000000000007,0.998,0.867,0.998,0.984,0.33999999999999997,0.5349999999999999,0.995,0.976,0.946,0.993,0.995,0.45699999999999996,1.0,0.946,0.983,0.999,0.997,0.997,1.0,0.999,0.992,0.997,0.997,0.981,1.0,0.16700000000000004,0.883,0.995
Eotaxin ,0.946,0.946,0.0,0.571,0.8180000000000001,0.771,0.974,0.606,0.929,0.742,0.644,0.5589999999999999,0.546,0.915,0.616,0.736,0.527,0.646,0.976,0.9339999999999999,0.946,0.556,0.971,0.741,0.502,0.484,0.832,0.619,0.476,0.859,0.881,0.44199999999999995,0.808,0.977,0.919,0.538,0.954,0.972,0.594,0.935,0.946,0.945,0.946,0.909,0.893,0.5589999999999999,0.8069999999999999,0.612,0.8260000000000001,0.9,0.03400000000000003,0.914,0.643,0.863,0.886,0.0,0.577,0.864,0.687,0.842,0.886,0.8089999999999999,0.639,0.842,0.861,0.87,0.716,0.999,0.902,0.643
FGF2 ,0.998,0.997,0.571,0.0,0.7110000000000001,0.523,0.868,0.44999999999999996,0.961,0.499,0.43500000000000005,0.18500000000000005,0.16400000000000003,0.857,0.19099999999999995,0.556,0.32899999999999996,0.759,0.929,0.968,0.99,0.348,0.887,0.627,0.243,0.30400000000000005,0.63,0.16200000000000003,0.31599999999999995,0.621,0.906,0.33699999999999997,0.823,0.929,0.859,0.52,0.831,0.929,0.346,0.975,0.998,0.998,0.97,0.712,0.806,0.35,0.948,0.923,0.728,0.882,0.5740000000000001,0.8260000000000001,0.31599999999999995,0.908,0.872,0.571,0.29500000000000004,0.655,0.40800000000000003,0.591,0.8140000000000001,0.665,0.31599999999999995,0.5900000000000001,0.724,0.836,0.7,0.989,0.886,0.31599999999999995
FLT3L ,0.991,0.991,0.8180000000000001,0.7110000000000001,0.0,0.45599999999999996,0.41200000000000003,0.518,0.844,0.5329999999999999,0.5569999999999999,0.735,0.7130000000000001,0.478,0.623,0.42200000000000004,0.77,0.44199999999999995,0.479,0.984,0.9299999999999999,0.71,0.44099999999999995,0.43999999999999995,0.7110000000000001,0.6719999999999999,0.482,0.6859999999999999,0.6970000000000001,0.876,0.634,0.6859999999999999,0.6579999999999999,0.46199999999999997,0.43200000000000005,0.599,0.32799999999999996,0.488,0.612,0.904,0.991,0.991,0.973,0.883,0.45599999999999996,0.617,0.969,0.975,0.48,0.837,0.81,0.281,0.761,0.9,0.853,0.8180000000000001,0.73,0.885,0.612,0.874,0.917,0.886,0.747,0.874,0.41400000000000003,0.495,0.5880000000000001,0.962,0.794,0.761
Fractalkine ,0.999,0.999,0.771,0.523,0.45599999999999996,0.0,0.587,0.41400000000000003,0.9410000000000001,0.402,0.405,0.567,0.54,0.5680000000000001,0.509,0.45199999999999996,0.594,0.687,0.642,0.976,0.973,0.519,0.599,0.478,0.546,0.517,0.44999999999999996,0.522,0.552,0.76,0.724,0.569,0.654,0.635,0.5820000000000001,0.577,0.511,0.643,0.5,0.931,0.999,1.0,0.98,0.791,0.482,0.43100000000000005,0.981,0.975,0.5409999999999999,0.79,0.774,0.55,0.629,0.893,0.853,0.771,0.5589999999999999,0.789,0.364,0.748,0.877,0.8160000000000001,0.604,0.748,0.42700000000000005,0.5800000000000001,0.618,0.968,0.77,0.629
GCSF ,1.0,0.999,0.974,0.868,0.41200000000000003,0.587,0.0,0.736,0.885,0.606,0.7,0.874,0.869,0.40800000000000003,0.781,0.616,0.935,0.663,0.31699999999999995,0.993,0.946,0.858,0.09799999999999998,0.499,0.884,0.856,0.45399999999999996,0.832,0.89,0.872,0.5509999999999999,0.879,0.597,0.29500000000000004,0.356,0.731,0.248,0.33499999999999996,0.767,0.915,0.999,1.0,0.858,0.889,0.4,0.7969999999999999,0.991,0.995,0.41100000000000003,0.712,0.963,0.30400000000000005,0.871,0.9410000000000001,0.723,0.974,0.856,0.865,0.726,0.877,0.858,0.855,0.865,0.877,0.378,0.46199999999999997,0.583,0.979,0.656,0.871
GMCSF ,0.973,0.973,0.606,0.44999999999999996,0.518,0.41400000000000003,0.736,0.0,0.904,0.5740000000000001,0.36,0.476,0.43500000000000005,0.722,0.46699999999999997,0.349,0.485,0.632,0.787,0.949,0.9410000000000001,0.47,0.744,0.554,0.42100000000000004,0.366,0.667,0.45299999999999996,0.42700000000000005,0.821,0.8180000000000001,0.405,0.6970000000000001,0.781,0.681,0.45899999999999996,0.6779999999999999,0.786,0.31799999999999995,0.88,0.973,0.975,0.999,0.834,0.667,0.31699999999999995,0.923,0.922,0.655,0.891,0.61,0.652,0.575,0.864,0.892,0.606,0.508,0.846,0.494,0.8049999999999999,0.924,0.86,0.5449999999999999,0.8049999999999999,0.635,0.759,0.667,0.948,0.911,0.575
CXCL1orGROa ,0.269,0.264,0.929,0.961,0.844,0.9410000000000001,0.885,0.904,0.0,0.954,0.924,0.952,0.949,0.843,0.959,0.89,0.967,0.81,0.841,0.30200000000000005,0.18899999999999995,0.951,0.876,0.9410000000000001,0.9410000000000001,0.9319999999999999,0.924,0.955,0.935,0.993,0.877,0.919,0.849,0.849,0.842,0.888,0.876,0.839,0.935,0.377,0.269,0.271,0.993,0.889,0.866,0.923,0.513,0.6639999999999999,0.916,0.905,0.9299999999999999,0.853,0.973,0.548,0.97,0.929,0.951,0.992,0.958,0.99,0.992,0.995,0.969,0.99,0.917,0.856,0.944,0.30900000000000005,0.886,0.973
IFNa2 ,0.999,0.999,0.742,0.499,0.5329999999999999,0.402,0.606,0.5740000000000001,0.954,0.0,0.499,0.571,0.519,0.652,0.44399999999999995,0.513,0.599,0.743,0.7110000000000001,0.979,0.998,0.563,0.627,0.352,0.577,0.5389999999999999,0.31200000000000006,0.484,0.562,0.726,0.781,0.583,0.683,0.7030000000000001,0.651,0.64,0.5449999999999999,0.718,0.558,0.964,0.999,0.999,0.993,0.808,0.609,0.5349999999999999,0.975,0.982,0.491,0.8049999999999999,0.738,0.606,0.577,0.915,0.833,0.742,0.517,0.747,0.42700000000000005,0.719,0.8089999999999999,0.7150000000000001,0.562,0.719,0.358,0.591,0.516,0.981,0.731,0.577
