,sCD40L ,EGF ,Eotaxin ,FGF2 ,FLT3L ,Fractalkine ,GCSF ,GMCSF ,CXCL1orGROa ,IFNa2 ,IFNy ,IL1a ,IL1b ,IL1RA ,IL2 ,IL3 ,IL4 ,IL5 ,IL6 ,IL7 ,IL8orCXCL8,IL9 ,IL10 ,IL12p40 ,IL12p70 ,IL13 ,IL15 ,IL17A ,IL17E/IL25 ,IL17F ,IL18 ,IL22 ,IL27 ,CXCL10orIP10 ,CCL2orMCP1 ,CCL7orMCP3 ,MCSF ,CXCL9orMIG,CCL3orMIP1a ,CCL4orMIP1b ,PDGFAA ,PDGFABAndPDGFBB ,CCL5orRANTES ,TGFa ,TNFa ,TNFb ,VEGFA ,Eotaxin2 ,CCL8OrMCP2 ,CXCL13OrBCA1 ,CCL13orMCP4 ,CCL1orI309 ,IL16 ,CCL17orTARC ,CCL21Or6CKine,Eotaxin3 ,LIF ,TPO ,SCF ,TSLP ,IL33 ,IL20 ,IL21 ,IL23 ,TRAIL ,CCL27orCTACK ,SDF1aAndSDF1B ,CXCL5orENA78 ,CCL15orMIP1d ,IFNL2orIL28A 
sCD40L ,0.0,0.0050000000000000044,0.884,0.978,0.9359999999999999,0.995,0.985,0.86,0.23199999999999998,0.997,0.957,0.897,0.9319999999999999,0.9359999999999999,1.0,0.854,0.975,0.8240000000000001,0.9410000000000001,0.08899999999999997,0.19699999999999995,0.874,0.977,1.0,0.856,0.901,0.991,0.952,0.885,0.991,0.888,0.867,0.88,0.951,0.947,0.853,0.973,0.938,0.8280000000000001,0.32299999999999995,0.016000000000000014,0.008000000000000007,0.993,0.787,0.971,0.923,0.494,0.587,0.972,0.9339999999999999,0.884,0.964,0.995,0.54,0.996,0.885,0.9319999999999999,0.998,0.994,0.989,1.0,0.997,0.98,0.989,0.99,0.969,0.994,0.33799999999999997,0.839,0.995
EGF ,0.0050000000000000044,0.0,0.884,0.976,0.9339999999999999,0.996,0.984,0.859,0.22899999999999998,0.997,0.958,0.896,0.931,0.935,1.0,0.853,0.975,0.825,0.9410000000000001,0.08799999999999997,0.19699999999999995,0.876,0.976,1.0,0.858,0.903,0.99,0.951,0.886,0.99,0.889,0.869,0.881,0.95,0.946,0.852,0.972,0.938,0.8280000000000001,0.32199999999999995,0.017000000000000015,0.009000000000000008,0.992,0.788,0.971,0.924,0.497,0.5880000000000001,0.972,0.935,0.884,0.962,0.994,0.5429999999999999,0.995,0.885,0.9319999999999999,0.997,0.994,0.988,0.999,0.996,0.979,0.988,0.989,0.968,0.994,0.33799999999999997,0.839,0.994
Eotaxin ,0.884,0.884,0.0,0.743,0.9410000000000001,0.9299999999999999,1.0,0.749,0.905,0.891,0.833,0.76,0.735,0.962,0.796,0.886,0.604,0.644,0.999,0.893,0.918,0.7150000000000001,0.998,0.8280000000000001,0.644,0.627,0.969,0.845,0.5509999999999999,0.945,0.909,0.53,0.865,0.999,0.963,0.5609999999999999,0.993,0.999,0.739,0.925,0.88,0.88,0.935,0.982,0.966,0.773,0.773,0.562,0.89,0.935,0.03600000000000003,0.989,0.8240000000000001,0.848,0.913,0.0010000000000000009,0.632,0.938,0.891,0.947,0.899,0.865,0.849,0.947,0.96,0.9359999999999999,0.793,0.986,0.918,0.8240000000000001
FGF2 ,0.978,0.976,0.743,0.0,0.943,0.8140000000000001,0.979,0.779,0.974,0.731,0.735,0.387,0.33399999999999996,0.977,0.42000000000000004,0.833,0.69,0.876,0.998,0.968,0.985,0.787,0.987,0.878,0.54,0.613,0.926,0.31699999999999995,0.6910000000000001,0.765,0.964,0.692,0.907,0.997,0.988,0.788,0.974,0.998,0.7150000000000001,0.99,0.979,0.979,0.876,0.862,0.953,0.6799999999999999,0.899,0.858,0.952,0.897,0.748,0.99,0.642,0.92,0.88,0.742,0.73,0.779,0.733,0.754,0.765,0.6839999999999999,0.632,0.754,0.961,0.958,0.895,0.959,0.9319999999999999,0.642
FLT3L ,0.9359999999999999,0.9339999999999999,0.9410000000000001,0.943,0.0,0.6739999999999999,0.55,0.745,0.804,0.729,0.737,0.983,0.943,0.65,0.804,0.587,0.931,0.625,0.558,0.937,0.874,0.952,0.5900000000000001,0.616,0.893,0.891,0.6970000000000001,0.9390000000000001,0.9390000000000001,0.98,0.729,0.929,0.769,0.5349999999999999,0.569,0.825,0.475,0.563,0.87,0.863,0.933,0.9339999999999999,0.861,0.975,0.62,0.806,0.9359999999999999,0.918,0.6719999999999999,0.84,0.935,0.352,0.989,0.89,0.825,0.9410000000000001,0.985,0.973,0.89,0.98,0.933,0.975,0.976,0.98,0.614,0.598,0.723,0.859,0.853,0.989
Fractalkine ,0.995,0.996,0.9299999999999999,0.8140000000000001,0.6739999999999999,0.0,0.77,0.6819999999999999,0.967,0.655,0.604,0.909,0.856,0.762,0.747,0.739,0.808,0.876,0.776,0.991,0.971,0.815,0.792,0.731,0.857,0.785,0.675,0.834,0.878,0.876,0.813,0.887,0.764,0.78,0.767,0.8180000000000001,0.716,0.767,0.865,0.945,0.994,0.995,0.864,0.882,0.636,0.626,0.975,0.956,0.786,0.741,0.9319999999999999,0.77,0.9339999999999999,0.87,0.8220000000000001,0.9299999999999999,0.889,0.892,0.607,0.879,0.862,0.892,0.917,0.879,0.647,0.663,0.8,0.898,0.774,0.9339999999999999
GCSF ,0.985,0.984,1.0,0.979,0.55,0.77,0.0,0.918,0.882,0.762,0.764,0.985,0.978,0.5740000000000001,0.858,0.773,0.979,0.852,0.42600000000000005,0.98,0.9319999999999999,0.983,0.126,0.667,0.976,0.973,0.56,0.966,0.987,0.9339999999999999,0.6759999999999999,0.973,0.742,0.386,0.486,0.9,0.396,0.44299999999999995,0.963,0.9339999999999999,0.985,0.984,0.614,0.954,0.558,0.879,0.986,0.99,0.544,0.753,0.996,0.42000000000000004,0.979,0.953,0.548,1.0,0.989,0.859,0.884,0.951,0.823,0.871,0.979,0.951,0.508,0.5820000000000001,0.6799999999999999,0.933,0.6930000000000001,0.978
GMCSF ,0.86,0.859,0.749,0.779,0.745,0.6819999999999999,0.918,0.0,0.839,0.844,0.69,0.8200000000000001,0.758,0.872,0.794,0.518,0.752,0.723,0.888,0.852,0.821,0.798,0.933,0.731,0.732,0.6759999999999999,0.948,0.776,0.75,0.978,0.873,0.725,0.763,0.895,0.839,0.747,0.88,0.883,0.53,0.786,0.86,0.861,0.973,0.964,0.83,0.629,0.831,0.77,0.865,0.902,0.75,0.846,0.929,0.777,0.94,0.749,0.832,0.987,0.815,0.974,0.971,0.97,0.882,0.974,0.879,0.894,0.793,0.8029999999999999,0.963,0.929
CXCL1orGROa ,0.23199999999999998,0.22899999999999998,0.905,0.974,0.804,0.967,0.882,0.839,0.0,0.983,0.915,0.9299999999999999,0.945,0.833,0.983,0.825,0.967,0.7969999999999999,0.815,0.271,0.20699999999999996,0.906,0.871,0.963,0.892,0.9,0.951,0.96,0.899,0.99,0.833,0.871,0.825,0.825,0.8280000000000001,0.8,0.886,0.813,0.833,0.384,0.22499999999999998,0.23099999999999998,0.96,0.847,0.854,0.893,0.624,0.6659999999999999,0.92,0.886,0.901,0.83,0.996,0.628,0.959,0.906,0.942,0.993,0.989,0.99,0.99,0.996,0.988,0.99,0.931,0.884,0.956,0.405,0.876,0.996
IFNa2 ,0.997,0.997,0.891,0.731,0.729,0.655,0.762,0.844,0.983,0.0,0.696,0.852,0.764,0.8280000000000001,0.597,0.747,0.841,0.91,0.854,0.994,1.0,0.859,0.781,0.5329999999999999,0.854,0.812,0.5529999999999999,0.7110000000000001,0.883,0.866,0.888,0.896,0.774,0.835,0.829,0.911,0.714,0.853,0.869,0.989,0.996,0.996,0.905,0.943,0.806,0.744,0.9339999999999999,0.973,0.724,0.776,0.891,0.796,0.846,0.94,0.7969999999999999,0.89,0.8029999999999999,0.849,0.7090000000000001,0.873,0.764,0.798,0.834,0.873,0.544,0.654,0.6759999999999999,0.922,0.747,0.846
